ef,sku,nombre_comercial,forma,costo_usd,precio_usd
E.F.G.31.158,ME31158,SULTAMICILINA 250 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,7.68,12.80
E.F.G.31.178,ME31178,ACIDO FOLICO 10 mg / mL SOLUCION ORAL,SOLUCION ORAL,7.05,11.75
E.F.G.31.259,ME31259,MELOXICAM 15 mg COMPRIMIDOS,COMPRIMIDOS,3.51,5.85
E.F.31.275,ME31275,AMOXIDUO 750 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,11.56,19.27
E.F.G.31.345,ME31345,CEFADROXILO 250 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,6.08,10.13
E.F.31.439,ME31439,FEBRILIX 120mg / 5mL SOLUCION ORAL,SOLUCION ORAL,1.57,2.62
E.F.G.31.537,ME31537,"AMBROXOL-CLENBUTEROL 7,5 mg-0,005 mg/5 mL SOLUCION ORAL",SOLUCION ORAL,5.18,8.63
E.F.G.31.538,ME31538,"AMBROXOL-CLENBUTEROL 15mg - 0,01mg/5 mL SOLUION ORAL",SOLUCION ORAL,2.8,4.67
E.F.31.562,ME31562,"FOTORRETIN 0,5 % - 5 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,11.56,19.27
E.F.31.563,ME31563,"POENTOBRAL PLUS 0,3 %- 0,1 % SUSPENSIÓN OFTÁLMICA",SUSPENSION ORAL,6.99,11.65
E.F.31.588,ME31588,"OTALEX 0,2 % - 1 % SUSPENSION OTICA",SUSPENSION ORAL,8.23,13.72
E.F.G.31.589,ME31589,CETIRIZINA 1 mg / mL SOLUCION ORAL,SOLUCION ORAL,2.58,4.30
E.F.G.31.636,ME31636,ACETAMINOFEN 120 mg / 5 mL JARABE,JARABE,2.18,3.63
E.F.31.744,ME31744,"COVENTROL 12,5 mg COMPRIMIDOS",COMPRIMIDOS,6.26,10.43
E.F.31.955,ME31955,"GLAUCOTENSIL T  2 % - 0,5 % SOLUCION OFTALMICA",SOLUCION OFTALMICA,13.9,23.17
E.F.32.020,ME32020,SINUTIL JARABE,JARABE,4.17,6.95
E.F.G.32.032,ME32032,CIPROFLOXACINA 750 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,4.74,7.90
E.F.G.32.070,ME32070,KETOPROFENO 100 mg COMPRIMIDOS ENTERICOS,COMPRIMIDOS,4.15,6.92
E.F.32.078,ME32078,BONAC 4% GEL USO TOPICO,GEL,18.44,30.73
E.F.G.32.087,ME32087,AMOXICILINA 750 mg / 5 mL POLVO PARA SUSPENSION ORAL,POLVO PARA RECONSTITUCION,6.2,10.33
E.F.32.123,ME32123,ALIVETNOC 500 mg - 3 mg GRANULADO SABOR LIMON - MIEL,GRANULADOS,5.16,8.60
E.F.G.32.130,ME32130,SULTAMICILINA 750 mg COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,10.61,17.68
E.F.32.168,ME32168,"BRIXIA 0,0 5% SOLUCION OFTALMICA",SOLUCION OFTALMICA,12.86,21.43
E.F.32.233,ME32233,RINOLAST D 30 mg - 30 mg / 5 mL SUSPENSION ORAL,SUSPENSION ORAL,9.37,15.62
