descripcion,costo_usd,ef,pa_drovencentro,score
FEBRILIX TAB 500MG X20 KIMIC,1.31,E.F.32.558,ACETAMINOFEN 500MG,0.000
FERROCE JBE 120ML MEY,10.00,E.F.13.615,FUMERATO FERROSO B12,0.000
FEXORAT SUSP ORAL 30MG/5ML PED 120ML L.O,9.18,E.F.41.359,FEXOFENADINA 30MG,0.000
FISIOLIN SOL NASAL PED 15ML L.O,5.69,E.F.29.110,CLORURO DE SODIO,0.000
FITEX TAB REC 5MG X10 FAR,2.06,E.F.39.597,TADALAFILO 5MG,0.000
FLATORIL SUSP GTS 80MG/ML 20ML ELM,9.34,E.F.35.935,SIMETICONA 80MG 20ML,0.000
FLENOX SOL ORAL PED 15MG/5ML 60ML BIOT,1.99,E.F.38.680,CLORHIDRATO DE AMBROXOL 15MG/5ML,0.000
"FLINAS SUS P/NEB DOSIS 0,05%MCG X 140",19.04,E.F.35.680,FLUTICASONA PROPINATO,0.000
"FOMENE COM 2,5 MG X 28",40.60,E.F.G.44.703,TIBOLONA 2.5MG,0.000
FUGOLIN CREM 20G VIN,6.91,E.F.24.373,CLOTRIMAZOL 1%,0.000
FULGRAM SUSP 600MG 60ML LETI,26.67,E.F.35.373,AMOXICILINA ACIDO CLAVULANICO 600MG/125MG,0.000
GARABET SOL OFT 5ML L.O,11.81,E.F.24.868,GENTAMICINA+BETAMETASONA 0.3%/0.1%,0.000
GLUCOVAL TAB REC 10MG X30 VLM,23.18,E.F.44.000,EMPAGLIFLOZINA 10MG,0.000
GLUCOVAL TAB REC 25MG X30 VLM,30.77,E.F.44.001,EMPAGLIFLOZINA 25MG,0.000
GULAPER JBE AD 250MG 120ML MEG,7.79,E.F.44.629,CARBOXIMETILCISTEINA 250MG,0.000
GYNOMET OVUL VAG 750MG/200MG X7 LETI,19.76,E.F.43.566,METRONIDAZOL 750MG + NITRATO DE MICONAZOL 200MG,0.000
HEPAFOL FORTE JBE 120ML MEY,19.39,E.F.28.801,VIT B12 ACIDO FOLICO,0.000
HEPAFOL JBE 120ML MEY,17.23,E.F.28.801,VIT B12 ACIDO FOLICO,0.000
HISTALER TAB/REC 5MG X 10,1.70,E.F.39.098,DESLORATADINA 5MG,0.000
IBUCOLVAL TAB REC 600MG/4MG X20 VLM,10.81,E.F.39.249,IBUPROFENO 600MG,0.000
IMAZOL OVU VAG 500MG X1 MEY,2.99,E.F.42.948,CLOTRIMAZOL 500MG,0.000
IMAZOL TAB VAG X6 MEY,6.17,E.F.20.148,CLOTRIMAZOL,0.000
IPALAT CREM 20G COFA,5.66,E.F.22.931,CLOTRIMAZOL 1%,0.000
IPORET SUSP 40MG/ML 60ML L.O,5.53,E.F.36.328,IBUPROFENO 40MG/ML,0.000
IZABAN DPP COMP REC 25MG/5MG X30 LETI,63.66,E.F.44.047,EMPAGLIFLOZINA 25MG,0.000
KAPET TAB REC 75MG X14 MEY,4.66,E.F.35.154,CLOPIDOGREL 75MG 30 TAB,0.000
KATIVIL SOL ORAL 1G/10ML S/AZU 90ML COFA,4.30,E.F.33.435,LCARNITINA,0.000
KATIVIL SOL ORAL 1G/10ML S/AZU120ML COFA,5.99,E.F.33.435,LCARNITINA,0.000
KEPRORET JBE 1MG/ML 120ML L.O,8.22,E.F.41.404,KETOPROFENO 1MG/ML,0.000
KEYDOL COMP REC 400MG/4MG X10 MEG,3.92,E.F.43.754,IBUPROFENO 400MG + TIOCOLCHICOSIDO 4MG,0.000
KEYDOL COMP REC 400MG/4MG X20 MEG,6.21,E.F.43.754,IBUPROFENO 400MG + TIOCOLCHICOSIDO 4MG,0.000
KEYDOL COMP REC 600MG/4MG X10 MEG,5.06,E.F.43.753,IBUPROFENO 600MG + TIOCOLCHICOSIDO 4MG,0.000
