proveedor,descripcion,costo,motivo
cobeca,ARNICA GTS 60ML RECETT,3.26,sin_candidato
cobeca,ARTHROCURE PVO P/SOL SOB 10G X 30,48.78,sin_candidato
cobeca,ARTOZ TAB REC 10MG X30 ARVEST,10.3,sin_candidato
cobeca,ARTROSAN CAP X60 WALF,11.99,sin_candidato
cobeca,ARUDIL TAB REC 10MG X10 FAR,4.7,score_bajo
cobeca,ARUDIL TAB REC 10MG X30 FAR,11.81,score_bajo
cobeca,ARUDIL TAB REC 20MG X10 FAR,8.25,score_bajo
cobeca,ARUDIL TAB REC 20MG X30 FAR,24.25,score_bajo
cobeca,ASARAP COMP/REC 15 MG X 30,33.84,score_bajo
cobeca,ASARAP COMP/REC 20 MG X 30,34.97,score_bajo
cobeca,ASCAFYL GRAG X10 MEY,4.74,score_bajo
cobeca,ASCAFYL-SC GTS 15ML MEY,6.43,score_bajo
cobeca,ASHWAGANDHA CAP 450MG X30 HERB,10.66,sin_candidato
cobeca,ASHWAGANDHA CAP 450MG X60 HERB,14.06,sin_candidato
cobeca,ASHWAGANDHA CAP 500MG X30 LINOF,8.06,sin_candidato
cobeca,ASPIANDEX TAB REC 81MG X30 PLX,3.18,score_bajo
cobeca,ASTEFOR COMP REC 500MG X10 MEG,8.44,score_bajo
cobeca,ATAMEL JBE PED 120MG/5ML 120ML CLX,3.78,score_bajo
cobeca,ATAMEL JBE PED 120MG/5ML 60ML CLX,2.03,score_bajo
cobeca,ATAPEC COMP REC 25MG X30 FC,4.92,score_bajo
cobeca,ATORVASTATINA COMP/REC 40MG X20 SPEFAR,5.45,score_bajo
cobeca,ATORVASTATINA COMP/REC 80MG X20 SPEFAR,6.58,score_bajo
cobeca,ATOVAROL CAP BLD 20MG X30 VIV,6.87,score_bajo
cobeca,ATOVAROL CAP BLD 40MG X30 VIV,11.03,score_bajo
cobeca,ATRIZINA COMP REC 500MG X5 RNV,5.63,sin_candidato
cobeca,ATROVERAN PLUS COMP REC 10/500MGX10 VARG,4.78,score_bajo
cobeca,AUGMENTIN ES PVO/SUS 600MG X100ML GSK,24.23,score_bajo
cobeca,AUGMENTIN PVO/SUSP 400MG/5ML X 70ML GSK,16.92,score_bajo
cobeca,AUPREL COMP/REC 90MG X 20,24.34,score_bajo
cobeca,AVAFONTAN I SOL INY 1G/2ML X3 CR MT,3.45,sin_candidato
cobeca,AVAFONTAN TAB 500MG X10 CR MT,3.14,sin_candidato
cobeca,AVELOX IV SOL P/INF 400MG/250ML AVPH,29.99,score_bajo
cobeca,"AVOST SOL OFT 0,004% 3ML CAPSUV",13.36,score_bajo
cobeca,AXET-20 TAB 20MG X30 BUKA,7.79,sin_candidato
cobeca,AXOKINE COMP REC 400G X5 LETI,73.18,score_bajo
cobeca,AXOPRAM TAB 20MG X30 TODO,7.88,sin_candidato
cobeca,AZAHAR GTS 30ML RECETT,2.69,sin_candidato
cobeca,AZITROMICINA TAB/REC 500MG X 3 LA SANTE,2.27,score_bajo
cobeca,AZUCARADAS LONCH DISP 25G X6,1.88,sin_candidato
cobeca,AZUFRE PVO 20G,1.21,sin_candidato
cobeca,AZUFRE PVO 25G X20 FCH,27.01,sin_candidato
cobeca,"BACTIN D SOL OFT 0,3%/0,1% 5ML CAPSUV",10.58,sin_candidato
cobeca,"BACTIN SOL/OFT 0,3% 5ML CAPSUV",7.57,sin_candidato
cobeca,BACTRIM TAB 400/80MG X20 MEY,32.61,sin_candidato
cobeca,BACTROCIS CREM 8MG 20G BOOZ,3.06,sin_candidato
cobeca,BACTRON SUSP 100ML RNV,5.04,score_bajo
cobeca,"BACUMER CREM 2%/2,5%/1% 20G BOOZ",4.05,sin_candidato
cobeca,BANTINA TAB 100MG X 30 ANGELUS,9.38,sin_candidato
cobeca,BARGONIL UNG 2% 30G MEG,26.23,score_bajo
cobeca,BARGONIL UNG RECTAL 10G MEG,13.64,score_bajo
cobeca,BARRA DERMISA CARBON 85G,13.13,sin_candidato
cobeca,BARRA DERMO BRUCEN CLEAN P/GRASA 90G,4.88,sin_candidato
cobeca,BARRA DERMO BRUCEN CLEAN P/MIXTA 90G,4.88,sin_candidato
cobeca,BARRA DERMO BRUCEN CLEAN P/SECA 90G,5.8,sin_candidato
cobeca,BARRA DERMO LIMP BRUCEN KIDS 90G,5.8,sin_candidato
cobeca,BARRA DERMOLIMP BIOS BEBE LAVANDA X90G,3.13,sin_candidato
cobeca,BARRA DERMOLIMP BIOS BEBE MANZANILLAX90G,3.19,sin_candidato
cobeca,BARRA DERMOLIMP BIOS BEBE NEUTRO X 90G,2.9,score_bajo
cobeca,BARRA DERMOLIMP BIOS BLU X 80G,2.55,sin_candidato
cobeca,BARRA DERMOLIMP BIOS LIMP/FAC X 90G,2.93,sin_candidato
cobeca,BARRA DERMOLIMP BIOS MAXPRO X 80G,2.58,sin_candidato
cobeca,BARRA LIMP BIODERMA ATODERM INTEN 150G,24.3,sin_candidato
cobeca,BARRA NATURE VALLEY TRAIL MIX 35G X48,72,sin_candidato
cobeca,BARRA PRO BAR CARAM SALADO 70G DISP X12,73.65,sin_candidato
cobeca,BARRA PRO BAR PEANUT/CHOCO 70G DISP X12,73.65,sin_candidato
cobeca,BARROCUTINA GEL FAC INVISIBLE 20G FC,8.64,sin_candidato
cobeca,BARROCUTINA GEL LIMP FAC 120ML FC,13.34,sin_candidato
cobeca,BASE D/COLOSTOM PLUSMEDIC 57MM SOB X10,79.86,score_bajo
cobeca,BB CREM ZOAH A/EDAD CLARO 50ML,5.38,sin_candidato
cobeca,BB CREM ZOAH A/EDAD MEDIO 50ML,5.38,sin_candidato
cobeca,BEBIDA LACTEA PVO MONTAÑA FRESCA 125G,1.81,score_bajo
cobeca,BEBIDA LACTEA PVO MONTAÑA FRESCA 400G,5.35,score_bajo
cobeca,BEBIDA LACTEA PVO MONTAÑA FRESCA 900G,11.68,score_bajo
cobeca,BEBIDA PVO NESQUIK CHOCO 570G,10.4,sin_candidato
cobeca,BEBIDA PVO NESQUIK FRESA 532G,6.91,score_bajo
cobeca,"BECUTENPLUS CREM 0,05/1/0,5% 30G TIAR",3.77,sin_candidato
cobeca,"BEDEX SOL BUCAL 0,15% 120ML PLX",4.97,score_bajo
cobeca,BENFLUX JBE 120ML PLN,4.01,score_bajo
cobeca,"BENZODIAZOL TAB MAST NAR 0,25/5MGX16 MEY",4.56,score_bajo
cobeca,BEPROSPEN SUSP INY 7MG/ML + JER X1 BIOT,11.51,sin_candidato
cobeca,BEPROSPEN SUSP/INY 7MG/ML X 1 AMP,9.12,sin_candidato
cobeca,BERBERINA CAP 500MG X60 HERB,25.17,sin_candidato
cobeca,BERRO JBE 120ML RECETT,3.51,sin_candidato
cobeca,BERRO JBE 240ML ARC IRIS,10.65,sin_candidato
cobeca,BERRO JBE X 180ML BIOF,4.97,sin_candidato
cobeca,BERRYDOPHILUS TAB/MAST 2BILLION X 60,22.86,sin_candidato
cobeca,BETADAC SUSP INY 4MG/3MG/ML X1 CR DAC,4.27,sin_candidato
cobeca,"BETADEX CREM 15G 0,1% LIALI",1.81,sin_candidato
cobeca,BETADINE JAB 180ML FAR,14.3,score_bajo
cobeca,"BETAGEMER CREM 0,1%/0,1% 20G BOOZ",4.52,sin_candidato
cobeca,"BETAME/GENTA/CLOTR CREM 0,5/1/10MG ALESS",2.48,sin_candidato
cobeca,"BETAMER CREM 0,1% 20G BOOZ",4.31,sin_candidato
cobeca,BETAMET/CLOTRIM/GENTAM CREM 30G KM,3.97,sin_candidato
cobeca,"BETAMETASONA/LORAT JBE 0,05/1MG 100ML HM",1.04,score_bajo
cobeca,"BETAPLUS CREM 0,05% 20G PORTU",2.99,sin_candidato
