descripcion_cobeca,codigo,codigo_barras,costo_usd,motivo
AMP SLIK ANTICAIDA 10ML X25,28144,7592943911763,17.74,sin_candidato
AMP SLIK PLAC/OVEJO 10ML X25,28143,7592943911756,17.74,sin_candidato
AMP SOLANO KERAT/L CABRA 10ML X10,16290,7591485001857,14.88,sin_candidato
"AMPIBLUX PVO LIOF 1G/0,5G X1 BLUE/M",53357,7598127000599,2.58,sin_candidato
AMSARTIQUE TAB REC 160MG/10MG X30 PHARME,27044,7592454003599,18.47,score_bajo
AMSARTIQUE TAB REC 80MG/5MG X30 PHARME,27012,7592454003582,13.16,score_bajo
ANAFLEX TAB 250MG X10 CAPSUV,23348,7598055000456,6.22,sin_candidato
ANALPER NAX CAP 250MG X10 PHARME,8152,7592454000789,3.87,score_bajo
ANALPER SOL ORAL 180MG/5ML 120ML PHARME,52507,7592454004251,3.45,score_bajo
ANANTY FORTE JBE PED 160MG/5ML 120ML PLX,13266,7594001101581,3.25,score_bajo
ANAPIR CAP BLD S/AZU 400MG X10 FC,17362,7593090001024,3.14,score_bajo
ANAPIR TAB 200MG X20 FC,22810,7593090001383,3.57,score_bajo
ANCITAM TAB 500MG X30 APF,26474,8906122851471,8.44,sin_candidato
ANGIOFLUX CAP BLD 250LSU X25 LETI,52055,7591585115980,69.22,score_bajo
ANGRIP FORTE COM/REC 650MG/20MG DIA X 10,30055,7591619001166,4.68,score_bajo
ANGRIP FORTE COM/REC 650MG/4MG NOCHE X 5,30054,7591619001159,3.9,score_bajo
ANTAAR TAB REC 10MG X30 CLX,17094,7591519051902,10.53,score_bajo
ANTIFOM FORTE COMP REC 160MG X10 VARG,23430,7592349001068,7.56,score_bajo
ANTIFOM SUSP/ORAL 80MF/ML X 20ML,28696,7592349001723,6.31,score_bajo
ANTIFON TAB/MAST 125MG X 10,20347,7592349001822,5.52,sin_candidato
ANTIP TAB REC 40MG X30 BEHR,51858,7592637000797,10.06,score_bajo
ANTITRANSP AER NIVEA INV B&W CLEAR 150ML,50921,4005900723173,6.84,sin_candidato
ANTITRANSP AER NIVEA PEARL&BEAUTY 150ML,38903,4005808837311,6.67,sin_candidato
ANTITRANSP NIVEA AER T/NAT C/TOUCHX150ML,30019,4005808829675,6.84,sin_candidato
ANTITRANSP NIVEA B&W AER MEN FRESHX150ML,30017,4005900036643,5.53,sin_candidato
ANTITRANSP NIVEA B&W AER MEN ORIG X150ML,30011,4005900036711,6.84,sin_candidato
ANTITRANSP NIVEA D/BLACK AER MEN X 150ML,30015,4005900495709,6.84,sin_candidato
ANTOVEN TAB 15MG X30 FC,53451,7593090003509,15.56,sin_candidato
"ANTUX SOL 0,6% CEREZA 120ML LETI",2700,7591585114709,11.53,score_bajo
APETININ JBE 240ML ARC IRIS,7066,7592946005742,10,sin_candidato
APIRETFLU SOB 8G DIA MIEL/LIMON X6 LO,51467,7591196006578,9.86,score_bajo
APIRETFLU SOB 8G NOCH MIEL/LIMON X6 LO,51431,7591196006363,10.14,score_bajo
APLACAL TAB MAST 750MG BAN X80 TARRO,52504,7592601000433,13.61,score_bajo
APLACAL TAB MAST 750MG FRAM DISPX120 MEY,21597,7592601000020,72.34,score_bajo
APLACAL TAB MAST 750MG FRAMB X80 TARRO,52827,7592601000440,13.61,score_bajo
APLACAL TAB MAST 750MG MAND DISPX120 MEY,21599,7592601000037,72.34,score_bajo
APLACAL TAB MAST 750MG MANDA X10 MEY,21598,7592601303169,9.36,score_bajo
APLACAL TAB MAST 750MG MANDA X80 TARRO,52828,7592601000457,13.61,score_bajo
APLACAL TAB MAST BAN 750MG DISP 30X4 MEY,21595,7592601000013,72.34,score_bajo
APLACAL TAB MAST BAN 750MG X10 MEY,21594,7592601303176,9.36,score_bajo
APLACAL TAB MAST MENT 750MG DISPX120 MEY,21601,7592601000044,72.34,score_bajo
APLEXIL TAB REC 550MG X10 COFA,53335,7591818716670,3.27,score_bajo
"APOSITO PHARMAP PED 5CM X 5,7CM X20",27157,7594001563891,22.31,score_bajo
APRIX CAP BLD 125MG X10 PLN,50995,7592348202510,5.97,score_bajo
APROVEL COMP REC 150MG X28 CLX,93574,7706263001657,40.26,score_bajo
APYRENE CAP BLD 650MG X10 FC,8363,7593090000034,3.43,sin_candidato
AQUATOP CREM REST INTENSIVA X 250G,29564,7703281002024,38.31,sin_candidato
ARBIXIL JBE AD 120ML MEY,10142,7592601100126,13.77,score_bajo
ARBIXIL JBE PED 120ML MEY,10141,7592601100638,12.52,score_bajo
"ARBIXIL SOL GTS PED 7,5MG/5MCG 15ML MEY",3798,7592601100683,7.36,score_bajo
ARESAN TAB REC 40MG X10 BIOT,13808,7591243802108,8.09,score_bajo
ARIPIPRAZOL TAB DESINT 10MGX10 CR MT,27119,8904278588258,5.88,score_bajo
ARMONYL TAB REC DIA X20 PLN,52078,7800004509225,6.01,score_bajo
ARMONYL TAB REC NOCH X20 PLN,52079,7800004000258,6.88,sin_candidato
ARNICA FC AER ORIGINAL X 75G,30198,7593090002731,7.26,sin_candidato
ARNICA FC FORTE GEL MANGO 250G FC,15024,7593090000799,5.44,score_bajo
ARNICA FC FORTE GEL ROLL ON MANGO 90G FC,14137,7593090000676,3.38,score_bajo
ARNICA FC GEL CORP PLUS 250G FC,16662,7593090000218,5.68,sin_candidato
ARNICA FC GEL ROLL ON 90G FC,98652,7593090000058,3.34,sin_candidato
ARNICA FC GEL ROLL ON TERMOACT 90G FC,16485,7593090000706,3.48,sin_candidato
ARNICA GEL 250G FC,15023,7593090000775,5.88,sin_candidato
ARNICA GEL 80G IND COR,15728,7591404002200,5.77,score_bajo
ARNICA GEL ROLL ON 60G IND COR,15732,7591404002545,4.95,score_bajo
ARNICA GEL ROLL ON MENTOL 45G RECETT,26375,7594001452072,2.74,score_bajo
ARNICA GTS 30ML RECETT,20893,7594001450757,2.54,sin_candidato
ARNICA GTS 60ML RECETT,20894,7594001450764,3.26,sin_candidato
ARTHROCURE PVO P/SOL SOB 10G X 30,29040,8436567242386,48.78,sin_candidato
ARTOZ TAB REC 10MG X30 ARVEST,53531,8906188190439,10.3,sin_candidato
ARTROSAN CAP X60 WALF,28366,7592710004629,11.99,sin_candidato
ARUDIL TAB REC 10MG X10 FAR,25506,7591821210424,4.7,score_bajo
ARUDIL TAB REC 10MG X30 FAR,25514,7591821210660,11.81,score_bajo
ARUDIL TAB REC 20MG X10 FAR,19058,7591821210028,8.25,score_bajo
ARUDIL TAB REC 20MG X30 FAR,19059,7591821210578,24.25,score_bajo
ASARAP COMP/REC 15 MG X 30,30307,7591585213334,33.84,score_bajo
ASARAP COMP/REC 20 MG X 30,50067,7591585213341,34.97,score_bajo
ASCAFYL GRAG X10 MEY,260,7592601100140,4.74,score_bajo
ASCAFYL-SC GTS 15ML MEY,13120,7592601301776,6.43,score_bajo
ASHWAGANDHA CAP 450MG X30 HERB,28308,7592710002892,10.66,sin_candidato
ASHWAGANDHA CAP 450MG X60 HERB,28307,7592710002885,14.06,sin_candidato
ASHWAGANDHA CAP 500MG X30 LINOF,53580,0799192573026,8.06,sin_candidato
ASPIANDEX TAB REC 81MG X30 PLX,52971,7594001102397,3.18,score_bajo
ASTEFOR COMP REC 500MG X10 MEG,26091,7591619000589,8.44,score_bajo
ATAMEL JBE PED 120MG/5ML 120ML CLX,50583,7591519001297,3.78,score_bajo
ATAMEL JBE PED 120MG/5ML 60ML CLX,51048,7591519001679,2.03,score_bajo
ATAPEC COMP REC 25MG X30 FC,53750,7593090003639,4.92,score_bajo
ATORVASTATINA COMP/REC 40MG X20 SPEFAR,54428,7590027002581,5.45,score_bajo
ATORVASTATINA COMP/REC 80MG X20 SPEFAR,54429,7590027002567,6.58,score_bajo
ATOVAROL CAP BLD 20MG X30 VIV,97993,7592432900148,6.87,score_bajo
ATOVAROL CAP BLD 40MG X30 VIV,97994,7592432900155,11.03,score_bajo
ATRIZINA COMP REC 500MG X5 RNV,52412,7592806137163,5.63,sin_candidato
ATROVERAN FEM COMP REC 10/200MG X10 VARG,54524,7592349003338,5.45,score_bajo
ATROVERAN PLUS COMP REC 10/500MGX10 VARG,51089,7592349002225,4.78,score_bajo
AUGMENTIN ES PVO/SUS 600MG X100ML GSK,29567,7861028101291,24.23,score_bajo
AUGMENTIN PVO/SUSP 400MG/5ML X 70ML GSK,29568,7861028101345,16.92,score_bajo
AUPREL COMP/REC 90MG X 20,28697,7592349001600,24.34,score_bajo
AVAFONTAN I SOL INY 1G/2ML X3 CR MT,51921,7502226297255,3.45,sin_candidato
AVAFONTAN TAB 500MG X10 CR MT,51922,7501384550646,3.14,sin_candidato
AVELOX IV SOL P/INF 400MG/250ML AVPH,2345,7702123409861,29.99,score_bajo
"AVOST SOL OFT 0,004% 3ML CAPSUV",23361,7598055000036,13.36,score_bajo
AXET-20 TAB 20MG X30 BUKA,53130,021281086231,7.79,sin_candidato
AXOKINE COMP REC 400G X5 LETI,90556,7591585114280,73.18,score_bajo
AXOPRAM TAB 20MG X30 TODO,51836,7410000101875,7.88,sin_candidato
AZAHAR GTS 30ML RECETT,20892,7594001450771,2.69,sin_candidato
AZITROMICINA TAB/REC 500MG X 3 LA SANTE,29496,7592454120852,2.27,score_bajo
AZUCARADAS LONCH DISP 25G X6,16111,7591039385365,1.88,sin_candidato
AZUFRE PVO 20G,29773,7591616001510,1.21,sin_candidato
AZUFRE PVO 25G X20 FCH,16592,7592141000269,27.01,sin_candidato
"BACTIN D SOL OFT 0,3%/0,1% 5ML CAPSUV",27854,7598055000302,10.58,sin_candidato
"BACTIN SOL/OFT 0,3% 5ML CAPSUV",23330,7598055000050,7.57,sin_candidato
BACTRIM TAB 400/80MG X20 MEY,26897,7707355055916,32.61,sin_candidato
BACTROCIS CREM 8MG 20G BOOZ,18939,7597072000227,3.06,sin_candidato
BACTRON SUSP 100ML RNV,344,7592806122015,5.04,score_bajo
"BACUMER CREM 2%/2,5%/1% 20G BOOZ",18942,7597072000258,4.05,sin_candidato
BANTINA TAB 100MG X 30 ANGELUS,28533,7598176000731,9.38,sin_candidato
BARRA DERMISA CARBON 85G,29448,766989000362,13.13,sin_candidato
