ef,sku,nombre_antes,nombre_despues,forma,frase_quitada,flag
E.F.G.43.675,ME43675/6,OMEPRAZOL 20 mg CAPSULAS GASTRORRESISTENTES X 30 capsulas,OMEPRAZOL 20 mg X 30 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
E.F.G.43.675,ME43675/2,OMEPRAZOL 20 mg CAPSULAS GASTRORRESISTENTES X 7 capsulas,OMEPRAZOL 20 mg X 7 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
E.F.G.43.675,ME43675/3,OMEPRAZOL 20 mg CAPSULAS GASTRORRESISTENTES X 8 capsulas,OMEPRAZOL 20 mg X 8 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
E.F.G.42.404,ME42404/3,OMEPRAZOL 40 mg CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES X 30 capsulas,OMEPRAZOL 40 mg X 30 CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES,CAPSULAS,CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES,limpio
E.F.G.42.404,ME42404/2,OMEPRAZOL 40 mg CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES X 7 capsulas,OMEPRAZOL 40 mg X 7 CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES,CAPSULAS,CAPSULAS CON MICROGRANULOS GASTRORRESISTENTES,limpio
E.F.G.41.965,ME41965/3,OMEPRAZOL 40 mg CAPSULAS GASTRORRESISTENTES X 30 capsulas,OMEPRAZOL 40 mg X 30 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
E.F.G.41.965,ME41965/2,OMEPRAZOL 40 mg CAPSULAS GASTRORRESISTENTES X 10 capsulas,OMEPRAZOL 40 mg X 10 CAPSULAS GASTRORRESISTENTES,CAPSULAS,CAPSULAS GASTRORRESISTENTES,limpio
E.F.44.039,ME44039,JUVILOC 20 mg TABLETAS GASTRORRESISTENTE X 20 tabletas,JUVILOC 20 mg X 20 TABLETAS GASTRORRESISTENTE,TABLETAS,TABLETAS GASTRORRESISTENTE,limpio
E.F.G.33.836,HO33836,OMEPRAZOL 40 mg POLVO LIOFILIZADO PARA INFUSION INTRAVENOSA X 1 inyectable,OMEPRAZOL 40 mg X 1 AMPOLLAS,INYECTABLE,POLVO LIOFILIZADO PARA INFUSION INTRAVENOSA,limpio
P.B.1.221,ME1221,OMMUNAL (LISADO BACTERIANO) 7 mg CAPSULAS X 10 capsulas,OMMUNAL (LISADO BACTERIANO) 7 mg X 10 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.30.342,ME30342,ONDANSETRON 4 mg COMPRIMIDOS X 10 comprimidos,ONDANSETRON 4 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.30.344,ME30344,ONDANSETRON 8 mg COMPRIMIDOS X 10 comprimidos,ONDANSETRON 8 mg X 10 COMPRIMIDOS,COMPRIMIDOS,COMPRIMIDOS,limpio
E.F.G.37.763,HO37763/2,ONDANSETRON 8 mg / 4 mL SOLUCION INYECTABLE INTRAVENOSA X 1 inyectable,ONDANSETRON 8 mg / 4 mL X 1 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE INTRAVENOSA,limpio
E.F.G.37.763,HO37763/3,ONDANSETRON 8 mg / 4 mL SOLUCION INYECTABLE INTRAVENOSA X 5 inyectable,ONDANSETRON 8 mg / 4 mL X 5 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE INTRAVENOSA,limpio
E.F.G.30.228,HO30228,ONDANSETRON 2 mg / mL SOLUCION INYECTABLE X 1 inyectable,ONDANSETRON 2 mg / mL X 1 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.35.150,HO35150/2,ONDATRIN 2 mg / mL SOLUCION INYECTABLE X 1 solucion inyectable,ONDATRIN 2 mg / mL X 1 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.35.150,HO35150/3,ONDATRIN 2 mg / mL SOLUCION INYECTABLE X 5 solucion inyectable,ONDATRIN 2 mg / mL X 5 AMPOLLAS,INYECTABLE,SOLUCION INYECTABLE,limpio
E.F.41.670,ME41670,ORALZINC SALES DE REHIDRATACION POLVO PARA SOLUCION ORAL SABOR A COCO X 1 sobre,ORALZINC SALES DE REHIDRATACION X 1 POLVO PARA SOLUCION ORAL SABOR A COCO,POLVO PARA RECONSTITUCION,POLVO PARA SOLUCION ORAL SABOR A COCO,limpio
E.F.39.093,ME39093,ORLIDIET 120 mg CAPSULAS X 30 capsulas,ORLIDIET 120 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.40.197,ME40197,ORLIDIET 60 mg CAPSULAS X 30 capsulas,ORLIDIET 60 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.36.024,ME36024,ORLISTAT 120 mg CAPSULAS X 30 capsulas,ORLISTAT 120 mg X 30 CAPSULAS,CAPSULAS,CAPSULAS,limpio
E.F.G.43.862,ME43862,OXCARBAZEPINA 300 mg TABLETAS RECUBIERTAS X 30 tabletas,OXCARBAZEPINA 300 mg X 30 TABLETAS RECUBIERTAS,TABLETAS,TABLETAS RECUBIERTAS,limpio
E.F.38.580,ME38580,OXIDREN 150 mg COMPRIMIDOS RECUBIERTOS X 1 comprimidos,OXIDREN 150 mg X 1 COMPRIMIDOS RECUBIERTOS,COMPRIMIDOS,COMPRIMIDOS RECUBIERTOS,limpio
