proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
drovencentro,PENICILINA 2.400.000UI IM VIAL KMPLUS,6921875010779       ,"CASA DE REPRESENTACIONES MARQUEZ Y KOTEICH, C.A.",0.95,,,,sin_match,sin_candidato
drovencentro,PENICILINA BENZATINICA G 1200000 IM AMP VITALIS,7707236123499       ,"PHARMASTERIL, C.A.",3.4,,,,sin_match,sin_candidato
drovencentro,PENICILINA BENZATINICA G 2400000UI  1AMP VITALIS,BENZA2400           ,"PHARMASTERIL, C.A.",5.37,,,,sin_match,sin_candidato
drovencentro,PENICILINA G BENZATINICA 1.200.000 UI  1VIAL VINCENTI,8904187888067       ,"VINCENTI INTERNACIONAL, C.A",2.28,,,,sin_match,sin_candidato
drovencentro,PENTAMAG 60 CAPS CITRATO MAGNESIO ARCOIRIS,7592946001768       ,ARCO IRIS LABORATORIO C.A,10.83,,,,sin_match,sin_candidato
drovencentro,PENTOXIFILINA 400MG 30TAB CLEO,7598677000261       ,"CORPORACIÓN CLEOPHARMA, C.A",10.26,,,,sin_match,sin_candidato
drovencentro,PEPSADEL 262MG 12TAB MAST BISMUTO DISKAM,7410000705080       ,REPRESENTACIONES DISKAM  C.A,7.9,,,,sin_match,sin_candidato
drovencentro,"PEPSADEL 87,33MG/5ML SUSP 120ML BISMUTO DISKAM",7410000703956       ,REPRESENTACIONES DISKAM  C.A,7.9,,,,sin_match,sin_candidato
drovencentro,PEPTO BISMOL 527MG/5ML  473ML,301490039373        ,LABORATORIOS FARMA S.A,27.86,,,,sin_match,sin_candidato
drovencentro,PEPTO BISMOL 527MG/5ML 236ML,020800753050        ,LABORATORIOS FARMA S.A,14.68,,,,sin_match,sin_candidato
drovencentro,PEPTO BISMOL ORIGINAL 525MG/30ML 118ML,020800753067        ,LABORATORIOS FARMA S.A,7.99,6821,PEPTO-BISMOL 525 mg / 30 mL SUSPENSIÓN ORAL,13.32,matched,score=0.700
drovencentro,PEREBRON 28MG PED MIEL-LIMON 120ML ELMOR,7591062011262       ,LABORATORIOS ELMOR S.A.,3.6,,,,sin_match,sin_candidato
drovencentro,PEREBRON 28MG/5ML JBE PED 120ML ELMOR,7591062011200       ,LABORATORIOS ELMOR S.A.,3.55,,,,sin_match,sin_candidato
drovencentro,PEREBRON 50MG AD MIEL-LIMON 120ML ELMOR,7591062011255       ,LABORATORIOS ELMOR S.A.,4.16,,,,sin_match,sin_candidato
drovencentro,PEREBRON 50MG/5ML JBE AD 120ML FRAMB ELMOR,7591062011217       ,LABORATORIOS ELMOR S.A.,3.86,2211,OXOLAMINA 50 mg / 5 mL JARABE,6.43,matched,score=0.876
drovencentro,PERIDONT ENJUAGUE BUCAL 350ML,7591196004215       ,"LABORATORIOS L.O OFTALMI, C.A",13.03,,,,sin_match,sin_candidato
drovencentro,PERIDONT SOL ENJUAGUE ORAL 240ML OFTALM,7591196007193       ,"LABORATORIOS L.O OFTALMI, C.A",9.7,,,,sin_match,sin_candidato
drovencentro,PERIOZAHN PLUS S/ALCOH 250ML VARGAS,7593506071016       ,VARGAS C.A.,4.91,,,,sin_match,sin_candidato
drovencentro,PERLAVIS FEMME BIO PLUS BAÑO INTIMO 360ML FC PHARMA,7593090002458       ,LABORATORIOS FC PHARMA C.A.,9.05,,,,sin_match,sin_candidato
drovencentro,PERLAVIS FEMME TEENS  200ML BAÑO INTIMO,7593090000768       ,LABORATORIOS FC PHARMA C.A.,4.88,,,,sin_match,sin_candidato
drovencentro,PERMADOL IBUPROFENO+TIOCOLCHICOSIDO 600/4MG  10TAB ANGELUS,7598176001103       ,"INVERSIONES ANGELUS HEALTH, C.A",4.46,,,,sin_match,sin_candidato
drovencentro,PEROXIDO DE BENZOILO 10% GEL 30GR SOTO GLOBAL,7599910793612       ,"SOTO GLOBAL GROUP, C.A.",2.87,,,,sin_match,sin_candidato
drovencentro,PEROXIDO DE BENZOILO 5% GEL 30GR SOTO GLOBAL,7599910793605       ,"SOTO GLOBAL GROUP, C.A.",2.7,,,,sin_match,sin_candidato
drovencentro,PERTEN 1% GEL TOPICO 20G SIEGFRIED,7592601301820       ,LABORATORIOS SIEGFRIED S.A.,9.63,4935,PERTEN 1 % GEL TOPICO,16.05,matched,score=0.794
drovencentro,PERTEN 1% SOL ATOM TOP 30ML SIEGFRIED,7592601301813       ,LABORATORIOS SIEGFRIED S.A.,12.23,4935,PERTEN 1 % GEL TOPICO,20.38,matched,score=0.752
drovencentro,PERTEN 1% SOL TOP 30ML SIEGFRIED,7592601301806       ,LABORATORIOS SIEGFRIED S.A.,11.6,4935,PERTEN 1 % GEL TOPICO,19.33,matched,score=0.764
drovencentro,PERTEN 250MG 20TAB SIEGFRIED,7592601301837       ,LABORATORIOS SIEGFRIED S.A.,23.26,5014,PERTEN 250 mg TABLETAS,38.77,matched,score=0.909
drovencentro,PERTEN CREMA 1% 20GR SIEGFRIED,7592601101154       ,LABORATORIOS SIEGFRIED S.A.,7.19,4135,PERTEN 1 % CREMA,11.98,matched,score=0.602
drovencentro,PHARMA ALGI F 10 CM 10CM /10 NID,6221382004019       ,GENIA CARE C.A.,37.85,,,,sin_match,sin_candidato
drovencentro,PHARMA KT COLORES SURTIDOS 5CM X 5M,6223004861697       ,GENIA CARE C.A.,4.86,,,,sin_match,sin_candidato
drovencentro,PHARMAFET LP  500MG  30 TAB LP METFORMINA MT,7502226297262       ,"MT GLOBAL CARE, C.A.",3.57,,,,sin_match,sin_candidato
drovencentro,PHARMAFIX 10 CM X 10M,6224000549862       ,GENIA CARE C.A.,12.23,,,,sin_match,sin_candidato
drovencentro,PHARMAFIX 20CM X 10M  / 1 UNID,6224000549879       ,GENIA CARE C.A.,24.83,,,,sin_match,sin_candidato
drovencentro,PHARMAPORE STERILE 10CM X 35 CM X 5 UND.,7594001563884       ,GENIA CARE C.A.,12.76,,,,sin_match,sin_candidato
drovencentro,PHARMORAT FORTE 20CAPS BLANDAS LETI,7591585114778       ,"LABORATORIOS LETI,S.A.V",12.13,,,,sin_match,sin_candidato
drovencentro,PHENYTOPRA 250MG/5ML SOL INY 1AMP FENITOINA ADN,8906112611863       ,"CASA DE REPRESENTACION ADN MEDICAL, C.A.",0.94,,,,sin_match,sin_candidato
drovencentro,PIASCLEDINE 300MG 10CAPS MEGALABS,7730969305894       ,"MEGALABS VZL, C.A.",9.52,,,,sin_match,sin_candidato
drovencentro,PICOLINATO DE CROMO 200MG 60TABS PHARMATECH,7597189215217       ,"GRUPO PHARMATECH, C.A.",6.73,,,,sin_match,sin_candidato
drovencentro,PINAVIX 100MG  30 COMP REC KLINOS,7591619520797       ,"MEGALABS VZL, C.A.",15.67,,,,sin_match,sin_candidato
drovencentro,PINAVIX 100MG 20 COMP REC KLINOS,7591619001319       ,"MEGALABS VZL, C.A.",9.55,,,,sin_match,sin_candidato
drovencentro,PINVEX 5G/1G SOL 10ML COFASA,7591818111055       ,"LABORATORIO COFASA, S.A.",6.13,1913,PINVEX 5 % - 1 % SOLUCION,10.22,matched,score=0.592
drovencentro,PIPERACILINA TAZOBACTAM 4.5G X 1VIAL. KMPLUS,8908003460369       ,"CASA DE REPRESENTACIONES MARQUEZ Y KOTEICH, C.A.",7.99,,,,sin_match,sin_candidato
