id,sku,nombre_comercial,molecula,forma,laboratorio,fuente_inhrr_ef
"39046","ME32087","AMOXICILINA 750 mg / 5 mL POLVO PARA SUSPENSION ORAL","Amoxicilina","POLVO PARA RECONSTITUCION","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.32.087"
"39047","ME34160","AMOXICILINA - ACIDO CLAVULANICO 400 mg - 57 mg / 5 mL  POLVO PARA SUSPENSION ORAL","Amoxicilina - Clavulanato Potasio","POLVO PARA RECONSTITUCION","LABORATORIOS LETI, S.A.V.","E.F.G.34.160"
"39048","ME43043","AMOXIVALAC 250 mg - 62,5 mg / 5 mL POLVO PARA SUSPENSION ORAL","Amoxicilina - Clavulanato Potasio","POLVO PARA RECONSTITUCION","LABORATORIOS VALMOR, C.A.","E.F.43.043"
"39049","ME43949","AMOXIVALAC 600 mg – 42,9 mg / 5 mL POLVO PARA SUSPENSIÓN ORAL","Amoxicilina","POLVO PARA RECONSTITUCION","LABORATORIOS VALMOR, C.A.","E.F.43.949"
"39050","ME42339","AMPROVIL 0,5 mg X 30 CAPSULAS.","Dutasterida","CAPSULAS","LABORATORIOS LETI, S.A.V","E.F.42.339"
"39054","ME40060/3","ANTAAR 2,5 mg X 30 TABLETAS RECUBIERTAS","Bisoprolol","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.40.060"
"39056","ME40058","ANTAAR 5 mg X 30 TABLETAS RECUBIERTAS","Bisoprolol","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.40.058"
"38758","ME37200/3","ROWELUK 4 mg X 30 COMPRIMIDOS MASTICABLES","Montelukast","COMPRIMIDOS","MEGALABS VZL, C.A. - LABORATORIOS ROWE, SRL","E.F.37.200"
"39059","ME18498","ANTIFOM 80 mg / mL SUSPENSION ORAL","Simeticona","SUSPENSION ORAL","LABORATORIOS VARGAS, S.A.","E.F.18.498"
"39060","ME33576","ANTILAX 2 mg X 10 TABLETAS","Loperamida","TABLETAS","LABORATORIOS FARMA S.A.","E.F.33.576"
"39061","ME42275","APIRET 125 mg SUPOSITORIOS","Acetaminofen","SUPOSITORIOS","LABORATORIOS L.O. OFTALMI, C.A.","E.F.42.275"
"39062","ME34032","APIRET 180 mg / 5 mL  SOLUCION ORAL","Acetaminofen","SOLUCION ORAL","LABORATORIOS L.O. OFTALMI, C.A.","E.F.34.032"
"39063","ME42141","APIRET 250 mg SUPOSITORIOS","Acetaminofen","SUPOSITORIOS","LABORATORIOS L.O. OFTALMI, C.A.","E.F.42.141"
"39069","ME42367","APLACAL 750 mg X 80 TABLETAS MASTICABLES SABOR A MANDARINA","","TABLETAS","LABORATORIOS SIEGFRIED S.A.","E.F.42.367"
"39071","ME38655/3","ARANDA 5 mg - 50 mg X 30 CAPSULAS","Losartan","CAPSULAS","LABORATORIOS FARMA S.A.","E.F.38.655"
"39072","ME28426","ARBIXIL 15 mg - 10 mcg / 5 mL JARABE","Ambroxol","JARABE","LABORATORIOS SIEGFRIED S.A.","E.F.28.426"
"39073","ME28401","ARBIXIL 7,5 mg - 5 mcg / 5 mL JARABE","Ambroxol","JARABE","LABORATORIOS SIEGFRIED S.A.","E.F.28.401"
"39074","ME31091","ARBIXIL 7,5 mg - 5 mcg / mL SOLUCION ORAL","Ambroxol","SOLUCION ORAL","LABORATORIOS SIEGFRIED S.A.","E.F.31.091"
"39075","ME40610","ARESAN HCT 20 mg - 12,5 mg X 10 TABLETAS RECUBIERTAS","Hidroclorotiazida - Olmesartan Medoxomilo","TABLETAS","BIOTECH LABORATORIOS, C.A.","E.F.40.610"
"39076","ME31478","ARTRODAR 50 mg X 30 CAPSULAS","Diacereina","CAPSULAS","LABORATORIOS LETI, S.A.V.","E.F.31.478"
"39077","ME41093","ASCAFYL SC 80 mg -  0,4 mg / mL SOLUCION ORAL","Acetaminofen - Clorfeniramina","SOLUCION ORAL","LABORATORIOS SIEGFRIED S.A.","E.F.41.093"
"39078","ME43205","ASPIXAN 81 mg X 100 TABLETAS CON RECUBRIMIENTO ENTERICO","Acetilsalicilico Acido","TABLETAS","BIOTECH LABORATORIOS, C.A.","E.F.43.205"
"39079","ME43853","ASTRIMOL 5 mg X 30 TABLETAS RECUBIERTAS","Bisoprolol","TABLETAS","BIOTECH LABORATORIOS, C. A.","E.F.43.853"
"39080","ME19620","ATAMEL 100 mg / mL SOLUCION ORAL","Acetaminofen","SOLUCION ORAL","CALOX INTERNATIONAL, C.A.","E.F.19.620"
"39081","ME33009","ATAMEL PLUS 500 mg - 32 mg X 10 TABLETAS","Acetaminofen - Cafeina","TABLETAS","CALOX INTERNATIONAL, C.A.","E.F.33.009"
"39082","ME26047","ATENOLOL 100 mg COMPRIMIDOS","Atenolol","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.26.047"
"39083","ME27910","ATENOLOL 50 mg X 30 COMPRIMIDOS","Atenolol","COMPRIMIDOS","LABORATORIOS KIMICEG, C.A.","E.F.G.27.910"
"39084","ME43982","ATORVASTATINA - EZETIMIBA 20 mg - 10 mg COMPRIMIDOS RECUBIERTOS","Atorvastatina - Ezetimiba","COMPRIMIDOS","LABORATORIOS LETI, S.A.V.","E.F.G.43.982"
"39085","ME39008","ATORVASTATINA 20 mg COMPRIMIDOS RECUBIERTOS","Atorvastatina","COMPRIMIDOS","LABORATORIOS SPEFAR VENEZOLANOS, S.A.","E.F.G.39.008"
