proveedor,descripcion,codigo,codigo_aux,costo_usd,producto_id_bd,nombre_producto_bd,precio_final_usd,estado,motivo
cobeca,HYDRORAL FRESA 500ML,51429,7599558000127,3.57,,,,sin_match,no farmaco
cobeca,HYDRORAL PRO + ZINC 500ML BIOF,53564,7599558000233,4.29,,,,sin_match,no farmaco
cobeca,HYDRORAL UVA 500ML,51430,7599558000141,3.57,,,,sin_match,no farmaco
cobeca,IBAMES COMP REC 150MG X1 ALESS,52777,7597758001593,3.87,,,,sin_match,sin_candidato
cobeca,IBANDROMET TAB REC 150MG X1 MEY,97785,7705323123117,9.39,4557,IBANDROMET 150 mg TABLETAS RECUBIERTAS,15.65,matched,score=0.646
cobeca,IBECAR TAB REC 150MG X30 VLM,27009,7591020009294,13.99,5297,IBECAR 150 mg TABLETAS RECUBIERTAS,23.32,matched,score=0.648
cobeca,IBECAR TAB REC 300MG X30 VLM,27010,7591020009317,21.22,5241,IBECAR 300 mg TABLETAS RECUBIERTAS,35.37,matched,score=0.648
cobeca,IBLUFEN TAB 800MG X10 BLUE/M,23883,7598127001275,1.6,6514,IBLUFEN 800 mg TABLETAS,2.67,matched,score=0.726
cobeca,IBUCOLVAL TAB 600MG/4MG X 10,50513,7591020080910,5.97,4656,IBUCOLVAL 600 mg - 4 mg TABLETAS RECUBIERTAS,9.95,matched,score=0.709
cobeca,IBUCOLVAL TAB REC 600MG/4MG X20 VLM,94906,7591020008648,10.81,,,,sin_match,score_bajo
cobeca,IBUCOLVAL TAB/REC 400 MG/4 MG X 10,30197,7591020008044,4.17,,,,sin_match,score_bajo
cobeca,IBUFEN COMP REC 800MG X6 FAHD,54227,7590279000045,4.29,,,,sin_match,score_bajo
cobeca,IBUFENAC CAP 400MG X20 RNV,23089,7592806131048,9.03,1929,IBUFENAC 400 mg CAPSULAS,15.05,matched,score=0.726
cobeca,IBUMAX SUSP/ORAL 100MG/5ML X 60ML,50304,7592454003995,3.84,6246,IBUMAX 100 mg / 5 mL SUSPENSION ORAL,6.4,matched,score=0.651
cobeca,IBUN TAB 600MG X10 COFA,26152,7591818000267,2.73,7283,IBUN 600 mg TABLETAS RECUBIERTAS,4.55,matched,score=0.888
cobeca,IBUN TAB REC 800MG X10 COFA,53061,7591818000502,4.54,6737,IBUN 800 mg TABLETAS RECUBIERTAS,7.57,matched,score=0.617
cobeca,IBUPROF/TIOCO COM/REC 600MG/4MG X10 VARG,29650,7592349001921,5.05,,,,sin_match,sin_candidato
cobeca,IBUPROFEN SUSP 100MG X60ML KIMIC,5567,7592616221014,3.14,,,,sin_match,sin_candidato
cobeca,IBUPROFEN TAB 400MG X10 KIMIC,10908,7592616220017,1.66,,,,sin_match,sin_candidato
cobeca,IBUPROFENO COMP 600MG X10 LETI,3823,7591585177698,6.79,2259,IBUPROFENO 600 mg COMPRIMIDOS RECUBIERTOS,11.32,matched,score=0.922
cobeca,IBUPROFENO COMP 800MG X 10 LETI,50176,7591585277688,10.04,4974,IBUPROFENO 800 mg COMPRIMIDOS,16.73,matched,score=0.922
cobeca,IBUPROFENO SUSP 100MG/5ML 60ML PHARME,24123,7592454003353,3.69,3325,IBUPROFENO 100 mg / 5 mL SUSPENSION,6.15,matched,score=0.864
cobeca,IBUPROFENO SUSP 100MG/5ML 90ML LETI,99047,7591585277701,6.88,3095,IBUPROFENO 100 mg / 5 mL SUSPENSION ORAL,11.47,matched,score=0.879
cobeca,IBUPROFENO TAB 400MG X20 BIOQ,24334,7594000850565,3.74,4474,IBUPROFENO 400 mg TABLETAS,6.23,matched,score=0.922
cobeca,IBUPROFENO TAB 600MG X 10 VARG,29649,7592349001815,3.18,2710,IBUPROFENO 600 mg TABLETAS,5.3,matched,score=0.922
cobeca,IBUPROFENO TAB 600MG X10 FMED,53298,8908020242863,1.3,2259,IBUPROFENO 600 mg COMPRIMIDOS RECUBIERTOS,2.17,matched,score=0.878
cobeca,IBUPROFENO TAB 600MG X10 KMP,53497,6942189304262,2.96,2259,IBUPROFENO 600 mg COMPRIMIDOS RECUBIERTOS,4.93,matched,score=0.878
cobeca,IBUPROFENO TAB 800MG X10 CR LATT,52948,756029628403,2.34,2951,IBUPROFENO 800 mg TABLETAS RECUBIERTAS,3.9,matched,score=0.878
cobeca,IBUPROFENO TAB 800MG X10 PHARME,94013,7592454153928,8.92,2951,IBUPROFENO 800 mg TABLETAS RECUBIERTAS,14.87,matched,score=0.878
cobeca,IBUPROFENO TAB REC 400MG X10 ALESS,27482,7597758000176,1.2,4449,IBUPROFENO - TIOCOLCHICOSIDO 400 mg - 4 mg TABLETAS RECUBIERTAS,2,matched,score=0.612
cobeca,IBUPROFENO TAB REC 400MG X10 CLX,10070,7591519000757,1.47,2343,IBUPROFENO 400 mg TABLETAS RECUBIERTAS,2.45,matched,score=0.800
cobeca,IBUPROFENO TAB REC 400MG X10 PLX,92855,7594001101123,2.55,3244,IBUPROFENO 400 mg TABLETAS RECUBIERTAS ENTERICAS,4.25,matched,score=0.800
cobeca,IBUPROFENO TAB REC 600MG X10 CLX,10263,7591519007107,3.13,3618,IBUPROFENO 600 mg TABLETAS RECUBIERTAS,5.22,matched,score=0.800
