producto_id,sku,nombre_comercial,molecula,forma,laboratorio,costo_usd,precio_usd,score,nombre_farmanselmo,precio_bs,imagen,farmanselmo_id,categoria_slug
39323,ME40510,"OLMESARTAN MEDOXOMIL - HIDROCLOROTIAZIDA 40 mg - 12,5 mg COMPRIMIDOS RECUBIERTOS",Hidroclorotiazida,COMPRIMIDOS,"LABORATORIOS LETI, S.A.V.",12.15,20.25,0.661,OLMESARTAN/HIDROCLOROTIAZIDA EUKENE (OLMESARTAN) HCT 40 MG/25 MG X30 COMP MEGALABS (E),"Bs. 10.940,45",https://pccentro.net.ve/img/s/8/3/9/8/9/83989-large_default.webp,527719,farmacia-1/proteccion-cardiovascular
37415,ME29182,CLORHIDRATO DE AMBROXOL 15mg /5mL.SOLUCION ORAL,Ambroxol,SOLUCION ORAL,MEGALABS S.A.,3.17,5.28,0.660,"ARBIXIL AMBROXOL+CLENBUTEROL 7,5MH+5MCG GOTAS x 15ML SIEGFRIED (E)","Bs. 4.991,42",https://pccentro.net.ve/img/s/1/8/1/8/9/18189-large_default.webp,529474,farmacia-1/sistema-respiratorio
39564,ME41980,"DUSTALOX 0,5 % SOLUCION OFTALMICA",,SOLUCION OFTALMICA,LABORATORIOS SOPHIA S.A. DE C.V,9.09,15.15,0.654,SYSTALAN GOTAS OFTALMICA 15ML DIEMA (E),"Bs. 11.110,02",https://pccentro.net.ve/img/s/9/0/9/8/4/90984-large_default.webp,726064,farmacia-1/organos-de-los-sentidos
38248,ME22931,IPALAT 1 % CREMA,Clotrimazol,CREMA,"LABORATORIO COFASA, S.A.",4.82,8.03,0.649,IPALAT CLOTRIMAZOL CREMA 1% x20GR COFASA (E),"Bs. 2.669,44",https://pccentro.net.ve/img/s/2/4/9/7/7/24977-large_default.webp,471644,farmacia-1/dermatologicos
39445,ME32078,BONAC 4% GEL USO TOPICO,Eritromicina,GEL,ARBOFARMA S.A.S.,18.44,30.73,0.648,BONAC ERITROMICINA TOPICA GEL 4% x30GR MEGALABS (E),"Bs. 14.194,70",https://pccentro.net.ve/img/s/4/0/5/2/5/40525-large_default.webp,471604,farmacia-1/dermatologicos
38953,ME37137,VIROSUPRIL 5 % CREMA,Imiquimod,CREMA,ARBOFARMA S.A.S.,31.82,53.03,0.648,VIROSUPRIL IMIQUIMOD CREMA  TOPICA 5% x5 GR MEGALABS LINEA MEDIHEALTH (E),"Bs. 16.847,19",https://pccentro.net.ve/img/s/6/3/2/4/2/63242-large_default.webp,471596,farmacia-1/dermatologicos
39094,ME40374,"BETADERM 0,05 % CREMA",Betametasona,CREMA,"BIOTECH LABORATORIOS, C.A.",2.51,4.18,0.642,BETADERM CON GENTAMICINA BETAMETASONA+GENTAMICINA CREMA x15GR BIOTECH (E),"Bs. 2.999,94",https://pccentro.net.ve/img/s/9/2/6/3/8/92638-large_default.webp,471566,farmacia-1/dermatologicos
38375,ME27475,LONGACEF 100 mg / 5 mL POLVO PARA SUSPENSION,Cefixima,POLVO PARA RECONSTITUCION,"LABORATORIOS LETI, S.A.V.",3.39,5.65,0.632,NITAZOXANIDA POLVO PARA SUSPENSION 100MG/5ML x30 ML DAC55 (E),"Bs. 4.466,01",https://pccentro.net.ve/img/s/6/2/1/7/4/62174-large_default.webp,473421,farmacia-1/productos-antiparasitarios-in
38044,ME35208,"ESPARFLIN 0,5 mg / mL X 10 JARABE",Desloratadina,JARABE,MEGALABS S.A.,3.38,5.63,0.628,DESLORAT DESLORATADINA JARABE 0.5MG/ML x60ML OFTALMI (E),"Bs. 3.898,22",https://pccentro.net.ve/img/s/2/2/8/7/2/22872-large_default.webp,476023,farmacia-1/sistema-respiratorio
39602,ME35193,GYNOCLOCIM 2 % CREMA VAGINAL,Clotrimazol,CREMA,"LABORATORIOS KIMICEG, C.A.",4.09,6.82,0.622,FUGOLIN CREMA VAGINAL 1% (E),"Bs. 5.618,53",https://pccentro.net.ve/img/s/2/4/7/9/1/24791-large_default.webp,474661,farmacia-1/sistema-genitourinario-y-hormo
