id_a,nombre_a,id_b,nombre_b,score,motivo,atc_a,atc_b,canon_a,canon_b
3475,Tramazolina,3476,Tramazolina Hidrocloruro,1,canonico_igual,R01AA09,R01AA09,tramazolina,tramazolina
3481,Tranilcipromina,3482,Tranilcipromina Sulfato,1,canonico_igual,N06AF04,N06AF04,tranilcipromina,tranilcipromina
3487,Trazodona,3488,Trazodona Hidrocloruro,1,canonico_igual,N06AX05,N06AX05,trazodona,trazodona
3514,Trimebutina,3515,Trimebutina Maleato,1,canonico_igual,A03AA05,A03AA05,trimebutina,trimebutina
3520,Trimipramina,3521,Trimipramina Maleato,1,canonico_igual,N06AA06,N06AA02,trimipramina,trimipramina
3525,Tripelenamina,3526,Tripelenamina Hidrocloruro,1,canonico_igual,D04AA04,D04AA04,tripelenamina,tripelenamina
3527,Triprolidina,3528,Triprolidina Hidrocloruro,1,canonico_igual,R06AX07,R06AX07,triprolidina,triprolidina
3530,Triptorelina,3531,Triptorelina Acetato,1,canonico_igual,L02AE04,L02AE04,triptorelina,triptorelina
3530,Triptorelina,3532,Triptorelina Pamoato,1,canonico_igual,L02AE04,L02AE04,triptorelina,triptorelina
3531,Triptorelina Acetato,3532,Triptorelina Pamoato,1,canonico_igual,L02AE04,L02AE04,triptorelina,triptorelina
3548,Ulipristal,3549,Ulipristal Acetato,1,canonico_igual,G03AD02,G03AD02,ulipristal,ulipristal
3550,Upadacitinib,3551,Upadacitinib Hemihidrato,1,canonico_igual,L04AA44,L04AA44,upadacitinib,upadacitinib
3582,Valaciclovir,3583,Valaciclovir  Hidrocloruro,1,canonico_igual,J05AB11,D06BB03,valaciclovir,valaciclovir
3590,Valganciclovir,3591,Valganciclovir Hidrocloruro,1,canonico_igual,J05AB14,J05AB06,valganciclovir,valganciclovir
3596,Valsartan,3597,Valsartan Disodio,1,canonico_igual,C09CA03,C09CA03,valsartan,valsartan
3600,Vancomicina,3601,Vancomicina Hidrocloruro,1,canonico_igual,A07AA09,A07AA09,vancomicina,vancomicina
3606,Vardenafilo,3607,Vardenafilo Hidrocloruro,1,canonico_igual,G04BE09,G04BE09,vardenafilo,vardenafilo
3606,Vardenafilo,3608,Vardenafilo Hidrocloruro Trihidrato,1,canonico_igual,G04BE09,G04BE09,vardenafilo,vardenafilo
3607,Vardenafilo Hidrocloruro,3608,Vardenafilo Hidrocloruro Trihidrato,1,canonico_igual,G04BE09,G04BE09,vardenafilo,vardenafilo
3609,Vareniclina,3610,Vareniclina Citrato,1,canonico_igual,N07BA03,N07BA03,vareniclina,vareniclina
3609,Vareniclina,3611,Vareniclina Tartrato,1,canonico_igual,N07BA03,N07BA03,vareniclina,vareniclina
3610,Vareniclina Citrato,3611,Vareniclina Tartrato,1,canonico_igual,N07BA03,N07BA03,vareniclina,vareniclina
3626,Venlafaxina,3627,Venlafaxina  Hidrocloruro,1,canonico_igual,N06AX16,N06AX16,venlafaxina,venlafaxina
3628,Verapamilo,3629,Verapamilo Hidrocloruro,1,canonico_igual,C08DA01,C08DA01,verapamilo,verapamilo
3630,Verde Indocianina,3631,Verde Indocianina Sodico,1,canonico_igual,,,indocianina verde,indocianina verde
3633,Vernakalant,3634,Vernakalant Hidrocloruro,1,canonico_igual,C01BG11,C01BG11,vernakalant,vernakalant
3645,Vimseltinib Dihidrato,3914,Vimseltinib,1,canonico_igual,L01EX29,L01EX29,vimseltinib,vimseltinib
3646,Vinblastina,3647,Vinblastina Sulfato,1,canonico_igual,L01CA01,L01CA01,vinblastina,vinblastina
3650,Vincristina,3651,Vincristina Sulfato,1,canonico_igual,L01CA02,L01CA02,vincristina,vincristina
3652,Vindesina,3653,Vindesina Sulfato,1,canonico_igual,L01CA03,L01CA03,vindesina,vindesina
