descripcion,costo_usd,ef,pa_drovencentro,score
DENCORUB GEL 40G PONCE,4.72,E.F.24.511,ALCANFOR +EUCALIPTO+MENTOL+SALICILATO DE METILO,0.771
DENCORUB ICE GEL 40G PONCE,2.66,E.F.24.511,ALCANFOR +EUCALIPTO+MENTOL+SALICILATO DE METILO,0.744
DERMAPIL CREM 0.1 % X 15G,11.61,E.F.42.875,"MOMETASONA FUROATO 0,1%",0.879
DESAZONA TAB 4MG X10 PORTU,1.57,E.F.G.26.290,DEXAMETASONA 4MG,0.828
"DESLER M TAB MAST 2,5/5MG X30 PHARME",9.84,E.F.39.603,DESLORATADINA 5MG 10TAB,0.860
DESLER M TAB REC 5MG/10MG X30 PHARME,17.40,E.F.39.603,DESLORATADINA 5MG 10TAB,0.862
"DESOLON TAB 0,15MG/0,03MG X21 CAPSUV",12.66,E.F.33.867,DESOGESTREL 0.1MG ETINILESTRADIOL 0.03MG  21TAB,0.851
DETFORGLIN TAB 500/50MGX30 CR DIST,10.97,E.F.G.42.667,METFORMINA 500MG + SISTAGLIPINA 50MG  30TAB,0.780
DEXACORT SOL INY 4MG/ML 2L X1 BHR,3.08,E.F.44.743,DEXAMETASONA 4MG,0.847
DI BENZOL SOL 200MG/5ML PED FRESA X 10ML,3.10,E.F.G.43.256,ALBENDAZOL 200MG 5ML,0.807
DIALPRON TAB 500MG X30 CR DIST,6.84,E.F.23.174,ACIDO VALPROICO 500MG  30TAB,0.816
DIANITIN SOL 150MG/10ML X 120ML,8.94,E.F.G.40.781,RANITIDINA 150MG,0.819
"DICLOFENAC DIETILAM GEL 1,16% 30G ALESS",2.38,E.F.G.37.540,"DICLOFENAC DIETILAMINA 1,16%",0.893
DIDRAMINA TAB 50MG X10 CR DIST,5.40,E.F.32.103,DIMENHIDRINATO 50MG,0.793
DIFENAC FORTE COMP REC 100MG X10 DLR,4.42,E.F.24.522,DICLOFENAC SODICO 100MG 10COMP,0.825
DIFLURYL TAB REC 10MG X30 CR DIST,6.92,E.F.G.43.024,FLUNARIZINA  10MG 30TAB,0.787
DIFURAZ CREM 0.2% X 30G,15.92,E.F.G.34.437,NITROFURAZONA N,0.880
DISBUFEN MAXX CAP BLD 600MG X20 CR DIST,6.87,E.F.43.166,IBUPROFENO 600MG  20CAPS,0.803
DISCETAM TAB 1000MG X30 CR DIST,16.25,E.F.37.980,LEVETIRACETAM 1000MG  30TAB,0.802
