producto_id,nombre_comercial,foto_url,score,desc_cobeca
38096,"FITEX 20 mg X 2 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99115.jpg",0.671,"FITEX TAB 20MG X2 FAR"
37649,"CANDER HCT 16 mg - 12,5 mg X 30 TABLETAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99153.jpg",0.974,"CANDER HCT TAB 16MG/12,5MG X30 VLM"
39112,"BONAMES 150 mg X 1 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99210.jpg",0.673,"BONAMES TAB REC 150MG FAR"
38327,"LETISAN 500 mg X 30 COMPRIMIDOS RECUBIERTOS DE ACCION PROLONGADA","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99231.jpg",0.752,"LETISAN CAP 500MG X30 LETI"
38649,"PEGYT 75 mg X 20 CAPSULAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99406.jpg",0.718,"PEGYT CAP 75MG X20 LETI"
38101,"FLAVOXATO 200 mG X 10 COMPRIMIDOS RECUBIERTOS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/99485.jpg",0.892,"FLAVOXATO TAB 200MG X10 CLX"
38604,"OMEPRAZOL 20 mg X 20 CAPSULAS GASTRORRESISTENTES","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20938.jpg",0.875,"OMEPRAZOL CAP 20MG X20 CR DAC"
38815,"SULTAMICILINA 750 mg X 10 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20939.jpg",0.853,"SULTAMICILINA TAB 750MG X10 CR DAC"
37755,"CIPROFLOXACINA 500 mg X 10 TABLETAS RECUBIERTAS","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20945.jpg",0.853,"CIPROFLOXACINA TAB 500MG X10 CR DAC"
37932,"DICLOFENAC SODICO 50 mg X 20 TABLETAS CON RECUBRIMIENTO ENTERICO","https://mav.farmaciasaas.com/api/images/articulos/DISTRIBUCION/20513.jpg",0.813,"DICLOFENAC SOD TAB 50MG X20 ALESS"
