ef,mol_inhrr,mol_cima,score
E.F.24.761,RANITIDINA,Ranitidina,1.0
E.F.24.808,AMPICILINA,Ampicilina,1.0
E.F.24.868,GENTAMICINA,Gentamicina,1.0
E.F.24.869,HIDROXIPROPILMETILCELULOSA,Hidroxipropilmetilcelulosa,1.0
E.F.24.875,ACETAMINOFEN,Acetaminofen,1.0
E.F.24.925,IBUPROFENO,Ibuprofeno,1.0
E.F.24.932,ALBENDAZOL,Albendazol,1.0
E.F.24.933,ALBENDAZOL,Albendazol,1.0
E.F.24.968,ACETAMINOFEN,Acetaminofen,1.0
E.F.24.973,NIFEDIPINA,Nifedipino,0.9
E.F.24.999,ACIDO CLAVULANICO,Clavulanico Acido,1.0
E.F.24.999,AMOXICILINA,Amoxicilina,1.0
E.F.25.000,AMOXICILINA,Amoxicilina,1.0
E.F.25.000,ACIDO CLAVULANICO,Clavulanico Acido,1.0
E.F.25.082,CARBAMAZEPINA,Carbamazepina,1.0
E.F.25.083,CARBAMAZEPINA,Carbamazepina,1.0
E.F.25.126,KETOCONAZOL,Ketoconazol,1.0
E.F.25.144,BETAXOLOL,Betaxolol,1.0
E.F.25.199,DOXICICLINA,Doxiciclina,1.0
E.F.25.203,CEFUROXIMA,Cefuroxima,1.0
E.F.25.204,CEFUROXIMA,Cefuroxima,1.0
E.F.25.255,CARBAMAZEPINA,Carbamazepina,1.0
E.F.25.264,MAGALDRATO,Magaldrato,1.0
E.F.25.265,MAGALDRATO,Magaldrato,1.0
E.F.25.273,ALBENDAZOL,Albendazol,1.0
E.F.25.276,ACETAMINOFEN,Acetaminofen,1.0
E.F.25.324,INDOMETACINA,Indometacina,1.0
E.F.25.332,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.25.339,BENCIDAMINA CLORHIDRATO,Bencidamina,1.0
E.F.25.348,FAMOTIDINA,Famotidina,1.0
E.F.25.349,FAMOTIDINA,Famotidina,1.0
E.F.25.350,ATENOLOL,Atenolol,1.0
E.F.25.350,CLORTALIDONA,Clortalidona,1.0
E.F.25.447,PROPOFOL,Propofol,1.0
E.F.25.515,LEVOTIROXINA SODICA,Levotiroxina,1.0
E.F.25.538,ACIDO CLAVULANICO,Clavulanico Acido,1.0
E.F.25.538,AMOXICILINA,Amoxicilina,1.0
E.F.25.566,CETIRIZINA DICLORHIDRATO,Cetirizina,1.0
E.F.25.569,ACICLOVIR,Aciclovir,1.0
E.F.25.617,LEVOTIROXINA SODICA,Levotiroxina,1.0
E.F.25.619,CLORURO DE CETILPIRIDINIO,Cetilpiridinio Cloruro,1.0
E.F.25.619,CLORHIDRATO DE LIDOCAINA,Lidocaina,1.0
E.F.25.621,KETOCONAZOL,Ketoconazol,1.0
E.F.25.668,BROMURO DE IPRATROPIO,Bromuro De Ipratropio Monohidratado,1.0
E.F.25.720,ATENOLOL,Atenolol,1.0
E.F.25.744,DICLOFENAC SODICO,Diclofenaco,0.909
E.F.25.781,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.25.781,MENTOL,Mentol,1.0
E.F.25.781,ALCANFOR,Alcanfor,1.0
E.F.25.865,ACIDO FOLICO,Folico Acido,1.0
E.F.25.867,KETOCONAZOL,Ketoconazol,1.0
E.F.25.902,CODEINA,Codeina,1.0
E.F.25.910,AMIODARONA,Amiodarona,1.0
E.F.25.937,ALCANFOR,Alcanfor,1.0
E.F.25.937,MENTOL,Mentol,1.0
E.F.25.937,SALICILATO DE METILO,Salicilato Metilo,1.0
E.F.25.942,ALBENDAZOL,Albendazol,1.0
E.F.25.949,BETAMETASONA,Betametasona,1.0
E.F.25.949,GENTAMICINA,Gentamicina,1.0
E.F.26.089,FLUCONAZOL,Fluconazol,1.0
E.F.26.140,TAMOXIFENO,Tamoxifeno,1.0
E.F.26.148,MINOXIDIL,Minoxidil,1.0
E.F.26.257,AMBROXOL CLORHIDRATO,Ambroxol,1.0
E.F.26.385,CLARITROMICINA,Claritromicina,1.0
E.F.26.407,POLIMIXINA B,Polimixina B,1.0
E.F.26.513,CAFEINA,Cafeina,1.0
E.F.26.513,CLORFENIRAMINA MALEATO,Clorfeniramina,1.0
E.F.26.513,ACETAMINOFEN,Acetaminofen,1.0
E.F.26.514,RANITIDINA,Ranitidina,1.0
E.F.26.529,CODEINA,Codeina,1.0
E.F.26.529,ACETAMINOFEN,Acetaminofen,1.0
E.F.26.651,FENOBARBITAL,Fenobarbital,1.0
E.F.26.655,ACETAMINOFEN,Acetaminofen,1.0
E.F.26.655,CAFEINA,Cafeina,1.0
E.F.26.662,NAPROXENO SODICO,Naproxeno,1.0
E.F.26.674,LISINOPRIL,Lisinopril,1.0
E.F.26.675,LISINOPRIL,Lisinopril,1.0
E.F.26.693,HESPERIDINA,Hesperidina,1.0
E.F.26.693,DIOSMINA,Diosmina,1.0
