proveedor,descripcion,costo,ef,estado,motivo
cobeca,ACETAMINOFEN TAB 650 MG X10 ZUZU,0.49,E.F.G.37.101,matched,score=0.929
cobeca,ACETAMINOFEN TAB 650MG X10 CLX,0.56,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN TAB 650MG X10 L.O,0.75,E.F.G.43.639,matched,score=0.734
cobeca,ACETAMINOFEN TAB 650MG X10 PHARME,0.7,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN TAB 650MG X10 PLX,0.92,E.F.G.43.639,matched,score=0.957
cobeca,ACETAMINOFEN/CLORF JBE 125/1MG/5ML BIOQ,6.19,E.F.G.40.713,matched,score=0.847
cobeca,"ACETAMINOFEN/TRAM TAB 325/37,5 X10 CLX",4.88,E.F.G.39.115,matched,score=0.768
cobeca,ACETAZOLAMIDA TAB 250MG X 20 ZUZU,5.86,E.F.G.34.148,matched,score=0.878
cobeca,ACETAZOLAMIDA TAB 250MG X10 CR MT,5.59,E.F.G.34.148,matched,score=0.918
cobeca,ACETAZOLAMIDA TAB 250MG X20 KMP,14.74,E.F.G.34.148,matched,score=0.878
cobeca,ACETOBEN JBE 120ML RNV,5.6,,sin_match,score_bajo
cobeca,ACEVAL GTS SOL 100MG/ML 30ML VLM,4.19,E.F.24.875,matched,score=0.671
cobeca,ACEVAL SOL PED 180MG/5ML 120ML VLM,4.36,,sin_match,score_bajo
cobeca,ACEVAL TAB 650MG X10 VLM,1.97,E.F.30.496,matched,score=0.719
cobeca,ACEVAL TAB 650MG X50 VLM,7.86,E.F.30.496,matched,score=0.719
cobeca,ACIBATH-S DERMOLIMP 120G MEY,15.56,,no_farmaco,
cobeca,ACICLOR AP COMP 1G X10 LETI,58.61,E.F.31.082,matched,score=0.700
cobeca,ACICLOR CREM 5% 10G LETI,16.32,E.F.24.209,matched,score=0.650
cobeca,ACICLOVIR CREM 5% 20G CR DAC,4.46,E.F.G.26.178,matched,score=0.761
cobeca,ACICLOVIR CREM 5% 20G SGG,10.35,E.F.G.26.178,matched,score=0.761
cobeca,ACICLOVIR CREM 5% 5G KMPLUS,2.96,E.F.G.43.512,matched,score=0.678
cobeca,ACICLOVIR CREM 5% 5G PORTU,2.73,E.F.G.43.512,matched,score=0.697
cobeca,ACICLOVIR CREM 5% X 10G DISTRI,8.78,E.F.G.43.512,matched,score=0.678
cobeca,ACICLOVIR CREM 50MG/20G PLN,9.81,E.F.G.40.581,matched,score=0.665
cobeca,ACICLOVIR PVO SOL INY 250MG VIAL X1 DIST,9.12,P.B.1.046,matched,score=0.717
cobeca,ACICLOVIR PVO SUSP 200MG/5ML 100ML DIST,15.52,E.F.28.634,matched,score=0.679
cobeca,ACICLOVIR TAB 200MG X 20 POLINAC,6.01,E.F.G.26.178,matched,score=0.702
cobeca,ACICLOVIR TAB 200MG X10 CR LATT,1.95,E.F.G.26.178,matched,score=0.878
cobeca,ACICLOVIR TAB 200MG X24 PHARME,6.61,E.F.G.26.178,matched,score=0.878
cobeca,ACICLOVIR TAB 200MG X25 CLX,6.65,E.F.G.31.108,matched,score=0.922
cobeca,ACICLOVIR TAB 400G X100 CR FAHD,18.24,E.F.G.42.505,matched,score=0.908
cobeca,ACICLOVIR TAB AP 1000MG X10 CR LATT,11.69,,sin_match,score_bajo
cobeca,"ACICLOVIR UNG OFT 3% 4,5G DIST",11.81,E.F.G.44.064,matched,score=0.731
cobeca,ACIDO ACETILSALIC TAB 81MG X24 L.O,4.02,E.F.G.34.553,matched,score=0.763
cobeca,ACIDO ASCORBICO AMP 500MG/5MLX10 CR DIST,20.32,E.F.G.44.464,matched,score=0.852
cobeca,ACIDO ASCORBICO SOL GTS 100MG 30ML BIOQ,6,E.F.G.42.963,matched,score=0.912
cobeca,ACIDO BORICO 20G LYA,1.74,,no_farmaco,
cobeca,ACIDO BORICO 20G X20 FCH,26.23,,no_farmaco,
cobeca,ACIDO BORICO 25G X12 RECETT,26.49,,no_farmaco,
cobeca,ACIDO BORICO CAP VAG 400MG X10 LYA,5.35,,sin_match,score_bajo
cobeca,ACIDO BORICO SOB 20G BIOF,1.47,P.B.1.457,matched,score=0.605
cobeca,ACIDO FOLICO AMP 10MG/2ML X10 CR DIST,34.74,E.F.G.3.187,matched,score=0.875
cobeca,ACIDO FOLICO AMP 10MG/ML X3 MEG,10.78,E.F.G.3.187,matched,score=0.867
cobeca,ACIDO FOLICO COMP 10MG 20G VARG,1.61,E.F.G.33.347,matched,score=0.886
cobeca,ACIDO FOLICO COMP 10MG X20 MEG,2.21,E.F.G.4.630,matched,score=0.935
cobeca,ACIDO FOLICO COMP 10MG X30 LETI,3.68,E.F.G.38.298,matched,score=0.935
cobeca,ACIDO FOLICO COMP 10MG X30 MEG,3.12,E.F.G.4.630,matched,score=0.935
cobeca,ACIDO FOLICO COMP 5MG X30 MEG,2.21,E.F.G.4.629,matched,score=0.957
cobeca,ACIDO FOLICO GTS 10MG 15ML MEY,8.75,E.F.G.4.631,matched,score=0.859
cobeca,ACIDO FOLICO GTS 10MG/ML 30ML BIOQ,6.7,E.F.G.4.631,matched,score=0.794
cobeca,ACIDO FOLICO GTS 15ML MEG,8.57,E.F.G.4.631,matched,score=0.848
cobeca,ACIDO FOLICO TAB 10MG X 30 CLX,1.69,E.F.G.33.559,matched,score=0.935
cobeca,ACIDO FOLICO TAB 10MG X10 MEY,1.29,E.F.G.4.630,matched,score=0.891
cobeca,ACIDO FOLICO TAB 10MG X20 MEY,2.45,E.F.G.4.630,matched,score=0.891
cobeca,ACIDO FOLICO TAB 10MG X20 PLX,1.89,E.F.G.36.224,matched,score=0.935
cobeca,ACIDO FOLICO TAB 10MG X30 MEY,3.32,E.F.G.4.630,matched,score=0.891
cobeca,ACIDO FOLICO TAB 10MG X30 PLX,2.5,E.F.G.36.224,matched,score=0.935
cobeca,ACIDO FOLICO TAB 5MG X10 MEY,1.17,E.F.G.4.629,matched,score=0.913
cobeca,ACIDO FOLICO TAB 5MG X20 MEY,2.09,E.F.G.4.629,matched,score=0.913
cobeca,ACIDO FOLICO TAB 5MG X30 MEY,3.32,E.F.G.4.629,matched,score=0.913
cobeca,ACIDO FOLICO TAB 5MG X30 PLX,2.44,E.F.G.36.039,matched,score=0.957
cobeca,ACIDO FUSIDICO CREM 2% 15G CR MT,11.32,E.F.37.466,matched,score=0.689
cobeca,ACIDO FUSIDICO CREM 2% X 15G VINC,17.75,E.F.37.466,matched,score=0.659
cobeca,ACIDO MEFENAMICO TAB 500MG X 10 FM,1.83,E.F.G.43.542,matched,score=0.904
cobeca,ACIDO VALPROICO TAB 500MG X10 MED/SUP,8.04,E.F.23.174,matched,score=0.803
cobeca,ACLER TAB REC 150MG X1 CLX,3.97,,sin_match,score_bajo
cobeca,ACLOVIRAX CREM 5% 20G PHARME,10.45,,sin_match,score_bajo
cobeca,ACON DRENE COMPLEX 3 MINUTOS 200ML,3.24,,no_farmaco,
cobeca,ACON DRENE COMPLEX CAB/LISO 200ML,3.09,,no_farmaco,
cobeca,ACON DRENE COMPLEX CAB/QUEBRAD 370ML,5.01,,no_farmaco,
cobeca,ACON DRENE PROH QUEBRADIZO 200ML,3.06,,no_farmaco,
cobeca,ACON ELVIVE CAIDA/RESIST X 370ML,8.58,,no_farmaco,
cobeca,ACON EVERY NIGHT BIO CER M/ACT 365ML,4.93,,no_farmaco,
cobeca,ACON EVERY NIGHT BIO COCO 365ML,4.97,,no_farmaco,
cobeca,ACON EVERY NIGHT BIO T/VERD/ALOE 365ML,4.97,,no_farmaco,
cobeca,ACOND DOVE RECONST COMPLETA 370ML,8.73,,no_farmaco,
cobeca,ACOND DOVE REGEN EXTREMA 370ML,9.41,,no_farmaco,
cobeca,ACOND ELVIVE DREAM LISO 370ML,8.58,,no_farmaco,
cobeca,ACOND EVERY NIGHT BIO COCO 210 ML,3.03,,no_farmaco,
cobeca,ACOND NUTRIBELA BIOKERATINA 370ML,6.06,,no_farmaco,
cobeca,ACOND NUTRIBELA CELULAS MADRES 370ML,6.37,,no_farmaco,
cobeca,ACOND NUTRIBELA ENZIMOTERAPIA 370ML,6.43,,no_farmaco,
cobeca,ACOND NUTRIBELA PROHIALUR 370ML,6.12,,no_farmaco,
cobeca,ACOND NUTRIBELA REPARA INTEN 370ML,6.12,,no_farmaco,
cobeca,ACOND NUTRIBELA REPARACION INT 200ML,3.95,,no_farmaco,
cobeca,ACOND OGX ARGAN OIL MOROCCO 385ML,16.55,,no_farmaco,
cobeca,ACOND OGX BIOTIN COLLAGEN 385ML,16.55,,no_farmaco,
cobeca,ACOND OGX COCONUT CURLS 385ML,16.55,,no_farmaco,
cobeca,ACOND OGX COCONUT MIRACLE OIL 385ML,18.54,,no_farmaco,
cobeca,ACOND REVLON ARGAN/MACAD 700ML,15.54,,no_farmaco,
cobeca,ACOND REVLON COCO/VIT E 700ML,15.54,,no_farmaco,
cobeca,ACOND REVLON KERATI/ALMEN 700ML,15.54,,no_farmaco,
cobeca,ACOND SAVITAL ARGAN/SABILA 490ML,7.29,,no_farmaco,
cobeca,ACOND SAVITAL M/OLEOS 490ML,7.29,,no_farmaco,
cobeca,ACOND SAVITAL M/VITAMINAS 490ML,7.29,,no_farmaco,
cobeca,ACOND SEDAL CELULAS MADRES 340ML,6.09,,no_farmaco,
cobeca,ACOND SEDAL CERAMIDAS 340ML,6.09,,no_farmaco,
cobeca,ACOND SEDAL LISO PERFECT 340ML,6.09,,no_farmaco,
cobeca,ACOND SEDAL LUMINOSO UV 340ML,6.09,,no_farmaco,
cobeca,ACRYLARM GEL OFT 10G MEG,27.4,,sin_match,score_bajo
cobeca,ACTICAR JBE 1G/10ML X 120ML,7.94,,sin_match,sin_candidato
cobeca,ACTIVITON EXT CAP BLD X30 G PHAR,11.91,,sin_match,sin_candidato
cobeca,"ACTUMIR DUO TAB REC 12,5MG/1000MG X30",19.35,,sin_match,score_bajo
cobeca,"ACTUMIR DUO TAB REC 12,5MG/850MG X30",19.35,E.F.44.457,matched,score=0.622
cobeca,ACTUMIR TAB REC 25MG X30 FARMA,47.32,,sin_match,score_bajo
cobeca,"ADAPALENO GEL TOP 0,1% 15G CR MT",6.38,E.F.G.43.334,matched,score=0.739
cobeca,"ADAPALENO GEL TOP 0,1% 15G HM",1.95,,sin_match,score_bajo
cobeca,"ADAPALENO/CLINDAMIC GEL 0,1%/1X15G CR MT",7.73,E.F.G.43.334,matched,score=0.698
cobeca,ADEL UNG 50G PONCE,4.88,,sin_match,score_bajo
cobeca,ADEMINA 3E CREM DERMO PROT 60G LEF,5.19,,sin_match,sin_candidato
cobeca,ADEMINA KIDS CREM A/PAÑALITIS 60G LEF,5.19,,sin_match,score_bajo
cobeca,"ADH D/PAPEL BLAN 2,54CM X 4,57M",2.1,,no_farmaco,
cobeca,"ADH D/PAPEL PIEL 2,54 CM X 4,57M",2.1,,no_farmaco,
cobeca,"ADH D/PLASTICO TRANSP 2,54CM X 4,57M",2.42,,no_farmaco,
cobeca,ADH D/TELA BLAN 2.54CM X 4.57M,3.64,,no_farmaco,
cobeca,ADH D/TELA BLAN 5.08CM X 9.15M,11.23,,no_farmaco,
cobeca,ADH ITN PAPEL BLAN 3  X5YDS X6 ROLLO,10.53,,no_farmaco,
cobeca,ADH PHARMAFIX 10CM X 10M,18.22,,no_farmaco,
cobeca,"ADH PROMEINT DURAPORE 1"" X 10 YDS X 12",63.81,,no_farmaco,
cobeca,"ADH PROMEINT DURAPORE 1"" X 5 YDS X 12",25.65,,no_farmaco,
cobeca,ADH PROMEINT DURAPORE 2  X5 YDS X6,25.65,,no_farmaco,
cobeca,"ADH PROMEINT DURAPORE 2"" X 10 YDS X 6",42.6,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 1"" X 10 X 12",31.55,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 1"" X 5 YDS X 12",17.08,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 1/2"" X 10 YDS X24",57.66,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 1/2"" X 5 YDS X 24",16.91,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 2"" X 10 YDS X 6",26.66,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 2"" X 5 YDS X 6",17.18,,no_farmaco,
cobeca,"ADH PROMEINT MICROPORE 3"" X 5 YDS X 6",17.01,,no_farmaco,
cobeca,ADH PROMEINT MICROPORE PIEL 1/2X5YDS X24,16.2,,no_farmaco,
cobeca,ADH PROMEINT MICROPORE PIEL 1X5YDS X12,16.2,,no_farmaco,
cobeca,ADH PROMEINT MICROPORE PIEL 2X5YDS X6,16.2,,no_farmaco,
cobeca,ADH PROMEINT TRANSP PLUS 1  X5YDS X12,19.24,,no_farmaco,
cobeca,ADH PROMEINT TRANSP PLUS 1/2  X10YDS X24,53.99,,no_farmaco,
cobeca,ADH PROMEINT TRANSP PLUS 1/2  X5YDS X24,16.16,,no_farmaco,
cobeca,ADH PROMEINT TRANSP PLUS 2  X10YDS X6,23.19,,no_farmaco,
cobeca,ADH PROMEINT TRANSP PLUS 2  X5YDS X6,23.35,,no_farmaco,
cobeca,"ADH PROMEINT TRANSPORE 1"" X 10 X 12",23.75,,no_farmaco,
cobeca,"ADH ZUVISS PE TRANSP 1,25CM X 9.10M",1.76,,no_farmaco,
cobeca,ADH ZUVISS PE TRANSP 5CM X 9.10M,3.64,,no_farmaco,
cobeca,"ADH ZUVISS TELA 1,25CM X 9.10M",2.25,,no_farmaco,
cobeca,ADOBO MAGGI BOTELLA X 200G,3.78,,no_farmaco,
cobeca,ADOBO MC CORMICK COMPLET 124G,2.16,,no_farmaco,
cobeca,ADRENALINA SOL INY 1MG/ML X5 DIST,5.03,E.F.G.34.745,matched,score=0.776
cobeca,ADUANTAS COMP REC 40MG X10 FC,4.34,,sin_match,sin_candidato
cobeca,ADUANTAS COMP/REC 20MG X30 FC PHARMA,5.14,,sin_match,sin_candidato
cobeca,ADUANTAS COMP/REC 40MG X30 FC PHARMA,6.75,,sin_match,sin_candidato
cobeca,ADUANTAS DUO COMP REC 20MG/10MG X30 FC,23.38,,sin_match,score_bajo
cobeca,AEROCAMARA BOTELL MASK,22.47,,no_farmaco,
cobeca,AEROCHAMBER INH AER FLEXMED 1-5AÑOS T M,11.25,,sin_match,sin_candidato
cobeca,AEROFLAT GTS 80MG/ML 20ML COFA,6.02,,sin_match,score_bajo
cobeca,AEROFLOW BLESS FLOW-VU ADU,23.31,,no_farmaco,
cobeca,AEROFLOW BLESS FLOW-VU PED,23.31,,sin_match,sin_candidato
cobeca,AFEIT PERSONNA MATRIX 3 HOMBRE X3,5.36,,no_farmaco,
cobeca,AFLAMAX SUP 12.5MG X 6,6.08,,no_farmaco,
cobeca,AFLAMAX SUP 50MG X 6,5.72,,no_farmaco,
cobeca,AFLAMAX TAB REC 50MG X10 L.O,2.86,,sin_match,score_bajo
cobeca,AFLAMAX TAB REC 50MG X20 L.O,4.36,,sin_match,score_bajo
cobeca,AFOKLIN COMP 5MG X20 MEG,1.56,E.F.27.634,matched,score=0.761
cobeca,AFOKLIN GTS 10MG 15ML MEG,8.57,E.F.27.414,matched,score=0.696
cobeca,AG ESPINAL GIDAGUS 23G/3 1/2 X50,50.54,,no_farmaco,
cobeca,AG ESPINAL GIDAGUS 25G/3 1/2 X50,53.14,,no_farmaco,
cobeca,AG HIPODERMICA PLUSMEDIC 23G 1  X100,4.62,,no_farmaco,
cobeca,AG HIPODERMICA PLUSMEDIC 23G 1 1/2  X100,5,,no_farmaco,
cobeca,AG HIPODERMICA PLUSMEDIC 30G 1/2  X100,6.67,,no_farmaco,
cobeca,AG PLUSMEDIC ESPINAL 25G X50,52.19,,no_farmaco,
cobeca,AG PLUSMEDIC ESPINAL 26G X50,52.19,,no_farmaco,
cobeca,AG PLUSMEDIC ESPINAL 27G X50,52.19,,no_farmaco,
cobeca,AGUA D/ALIBOUR 120ML RECETT,1.99,,no_farmaco,
cobeca,AGUA D/COLONIA AGRADO FRESCA 750ML,8.22,,no_farmaco,
cobeca,AGUA D/COLONIA JEAN NATE X 443ML,13.51,,no_farmaco,
cobeca,AGUA D/MAR HIPERTON MARIMER 100ML,17.73,,no_farmaco,
cobeca,AGUA D/MAR HIPERTON MARIMER BABY 100ML,17.73,,no_farmaco,
cobeca,AGUA D/MAR ISOTON MARIMER 100ML,17.73,,no_farmaco,
cobeca,AGUA D/MAR ISOTON MARIMER BABY 100ML,17.73,,no_farmaco,
cobeca,AGUA D/MAR ZAFIRE HIPERTON FORTE X 100ML,15.85,,no_farmaco,
cobeca,AGUA D/MAR ZAFIRE ISOTONICA DALY X 100ML,15.85,,no_farmaco,
cobeca,AGUA D/MAR ZAFIRE ISOTONICA PED X 100ML,15.85,,sin_match,score_bajo
cobeca,AGUA D/ROSAS MICELAR CLARESS 180CM3,9.1,,no_farmaco,
cobeca,AGUA D/ROSAS RECETT 120ML,3.57,,no_farmaco,
cobeca,AGUA DESTILADA 1L RECETT,4.34,,no_farmaco,
cobeca,AGUA DESTILADA 500ML RECETT,2.55,,no_farmaco,
cobeca,AGUA DESTILADA INY NUM49 500ML BHR,5.57,E.F.G.32.804,matched,score=0.628
cobeca,AGUA ESTERIL PISA INY 500ML,7.97,E.F.G.1.694,matched,score=0.656
cobeca,AGUA MICELAR CLARESS ALOE VERA 180CM3,8.41,,no_farmaco,
cobeca,AGUA MICELAR DERNIER PIEL NORM 200ML,4.39,,no_farmaco,
cobeca,AGUA MICELAR DERNIER PIEL SENSI 200ML,2.81,,no_farmaco,
cobeca,AGUA MICELAR L OREAL C/AC HIALUR 200ML,11.14,,no_farmaco,
cobeca,AGUA MICELAR NIVEA AGUA D/ROSAS 100ML,5.39,,no_farmaco,
cobeca,AGUA MICELAR NIVEA AGUA D/ROSAS 400ML,10.39,,no_farmaco,
cobeca,AGUA MICELAR NIVEA PIEL MIX/GRAS,10.39,,no_farmaco,
cobeca,AGUA MICELAR SENSIBIO H2O 250ML,28.48,,no_farmaco,
cobeca,AGUA MICELAR VERABELL AC HIALUR 200ML,8.35,,no_farmaco,
cobeca,AGUA MICELAR ZOAH A/EDAD 250ML,3.64,,no_farmaco,
cobeca,AGUA OXIG 120ML LAFARQ,0.46,,no_farmaco,
cobeca,AGUA OXIG 240ML LAFARQ,0.68,,no_farmaco,
cobeca,AGUA OXIG 500ML ALNA,1.64,,no_farmaco,
cobeca,AGUA OXIG 500ML LAFARQ,1.15,,no_farmaco,
cobeca,AGUA OXIG ALFAPARF 30VOL 450ML,4.37,,no_farmaco,
cobeca,AGUA OXIG ALFAPARF 30VOL 90ML,1.5,,no_farmaco,
cobeca,AGUA OXIG ALVA 3% 120ML,0.71,,no_farmaco,
cobeca,AGUA OXIG ALVA 3% 240ML,1.08,,no_farmaco,
cobeca,AGUA OXIG ALVA 3% 500ML,1.68,,no_farmaco,
cobeca,AGUA OXIG ALVA AL 3% 1L,3.36,,no_farmaco,
cobeca,AGUA OXIG AMERICAN VOL20 60ML,0.81,,no_farmaco,
cobeca,AGUA OXIG AMERICAN VOL30 60ML,0.81,,no_farmaco,
cobeca,AGUA OXIG LAFARQUIM 1L,1.98,,no_farmaco,
