nombre,nombre_generico_en,sinonimos,descripcion,atc_codigo
Anis,12 Hr Carbamazepine 100 Mg Extended Release Oral Capsule,,,
Ansamicina,Rifabutin,,,
Antazolina,Antazoline,,,
Antazolina Fosfato,Antazoline,,,
Anticuerpo Humanizado Frente Al Antigeno De Maduracion De Celulas B Conjugado Con Maleimidocaproil Monometil Auristatin F,,,,
"Anticuerpo Monoclonal Biespecifico Contra Cd3 Y Bcma, De Isotipo Igg2k Humanizado Y Modificado En La Region Fc",,,,
Antigeno De Una Cepa Similar A B  (linaje Victoria),Influenza B Virus B/victoria/705/2018 Antigen,,,
Antigeno De Una Cepa Similar A B  (linaje Yamagata),,,,
Antigeno Hepatitis A,,,,
Antigeno Oligosacarido Meningococo Grupo A,Meningococcal Group A Polysaccharide,,,
Antigeno Oligosacarido Meningococo Grupo C,Meningococcal Group C Polysaccharide,,,
Antigeno Oligosacarido Meningococo Grupo W135,,,,
Antigeno Oligosacarido Meningococo Grupo Y,Meningococcal Polysaccharide Vaccine Group Y,,,
Antigeno Polisacarido Meningococo Gr W-135,Meningococcal Polysaccharide Vaccine Group W-135,,,
Antigeno Polisacarido Meningococo Gr Y,Meningococcal Polysaccharide Vaccine Group Y,,,
Antigeno Polisacarido Meningococo Grupo A,Meningococcal Group A Polysaccharide,,,
Antigeno Polisacarido Meningococo Grupo C,Meningococcal Group C Polysaccharide,,,
Antigeno Recombinante De La Glicoproteina E (ge) Del Virus De La Varicela Zoster (vvz),,,,
Antigeno Salmonella Typhi Polisacarido Capsular Vi,,,,
Antigeno Superficie Hepatitis B,Hepatitis B Surface Antigen Vaccine,,,
Antigenos Superficie Virus Gripe,Influenza B Virus Antigen,,,
Antitrombina Iii,"Antithrombin Iii, Human",,,
Antitrombina Iii Humana,"Antithrombin Iii, Human",,,
Antraquinona,"9,10-anthraquinone",,,
Antraquinona Glucosidos,,,,
Apalutamida,Apalutamide,,,
Apap,Acetaminophen,,,
Apio De Montaña,Arnica Montana Extract,,,
Apixaban,Apixaban,,,
Apomorfina,Apomorphine,,,
Apomorfina Hidrocloruro,Apomorphine,,,
Apomorfina Hidrocloruro Hemihidrato,Apomorphine,,,
Apraclonidina,Apraclonidine,,,
Apraclonidina Hidrocloruro,Apraclonidine,,,
Apremilast,Apremilast,,,
Aprepitant,Aprepitant,,,
Aprotinina,Aprotinin,,,
Aquocobalamina,,,,
Arabinosido Citosina,Cytosine,,,
Arandano Rojo,,,,
Arandano Rojo Purificado Extracto Seco,"Coagulation Factor Ix, Human",,,
Arctostaphylos Uva Ursi (gayuba) Extracto Seco 10 %,,,,
Arctostaphylos Uva-ursi,,,,
Argatroban,Argatroban,,,
Arginina,Arginine,,,
Argipresina,Argipressin,,,
Aripiprazol,Aripiprazole,,,
Aripiprazol Monohidrato,Aripiprazole,,,
Arnica Montana,Arnica Montana Extract,,,
Arnica Montana Extracto Liquido,Arnica Montana Extract,,,
"Arnm Con Caperuza Que Codifica La Proteina Espiga Del Sars-cov-2, Variante Omicron Xfg",,,,
Arnm Que Codifica El Dominio N-terminal Y El Dominio De Union Al Receptor De La Glicoproteina De La Espicula De Sars-cov 2 (xbb.1.5.),,,,
"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe A, Subtipo H1n1, Cepa A/wisconsin/67/2022",,,,
"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe A, Subtipo H3n2, Cepaa/darwin/6/2021",Influenza A Virus A/darwin/6/2021 (h3n2) Antigen,,,
"Arnm Que Codifica La Hemaglutinina Del Virus De La Gripe B, Cepa B/austria/1359417/2021",Influenza B Virus B/austria/1359417/2021 Antigen,,,
Arsenico,Arsenic,,,
Arsenico Trioxido,Arsenic Trioxide,,,
Artemeter,Artemether,,,
Artenimol,,,,
Artesunato,Artesunate,,,
Articaina,Articaine,,,
Articaina Hidrocloruro,Articaine,,,
Asciminib,Asciminib,,,
Asciminib Hidrocloruro,Asciminib,,,
Ascorbato Sodio,Sodium Ascorbate,,,
Ascorbico Acido,Ascorbic Acid,,,
Asenapina,Asenapine,,,
Asenapina Maleato,Asenapine,,,
Asfotasa Alfa,Asfotase Alfa,,,
Asiaticosido,Asiaticoside,,,
Asparagina,Asparaginase,,,
Asparagina Monohidrato,,,,
Asparaginasa,Asparaginase,,,
Asparragin Aminohidrolasa,Asparagine,,,
Aspartato Arginina,Arginine,,,
Aspartico Acido,Aspartic Acid,,,
Atalureno,,,,
Atazanavir,Atazanavir,,,
Atazanavir Sulfato,Atazanavir,,,
Atenolol,Atenolol,,,
Atezolizumab,Atezolizumab,,,
Atidarsagen Autotemcel,Atidarsagene Autotemcel,,,
Atogepant,Atogepant,,,
Atogepant Monohidrato,Atogepant,,,
Atomoxetina,Atomoxetine,,,
Atomoxetina Hidrocloruro,Atomoxetine,,,
Atorvastatina,Atorvastatin,,,
Atorvastatina Calcica,Atorvastatin,,,
Atorvastatina Calcica Trihidrato,Atorvastatin,,,
Atosiban,Atosiban,,,
Atosiban Acetato,Atosiban Acetate,,,
Atovacuona,Atovaquone,,,
Atracurio,Atracurium,,,
Atracurio Besilato,Atracurium Besylate,,,
Atropa Belladonna,"Belladonna Extract, Usp",,,
Atropa Belladonna Tintura Madre,"Belladonna Extract, Usp",,,
Atropina,Atropine,,,
Atropina Sulfato,Atropine,,,
Atropina Sulfato Monohidrato,Atropine,,,
Aurotiosulfato,Gold Sodium Thiosulfate,,,
Aurotiosulfato Sodio,Ganciclovir Sodium,,,
Avacopan,Avacopan,,,
Avalglucosidasa Alfa,Avalglucosidase Alfa,,,
Avanafilo,Avanafil,,,
Avapritinib,Avapritinib,,,
Avatrombopag,Avatrombopag,,,
Avatrombopag Maleato,Avatrombopag Maleate,,,
Avelumab,Avelumab,,,
Avibactam,Avibactam,,,
Avibactam Sodio,Avibactam,,,
Avxs-101,,,,
Axeroftol,,,,
Axicabtagen Ciloleucel,Axicabtagene Ciloleucel,,,
Axitinib,Axitinib,,,
Azacitidina,Azacitidine,,,
Azahar,,,,
Azatioprina,Azathioprine,,,
Azd9291,,,,
Azelaico Acido,Azelaic Acid,,,
Azelastina,Azelastine,,,
Azelastina Hidrocloruro,Azelastine,,,
Azidotimidina,Zidovudine,,,
Azilsartan Medoxomilo,Azilsartan Medoxomil,,,
Azitromicina,Azithromycin,,,
Azitromicina Dihidrato,Azithromycin,,,
Azitromicina Monohidrato,Azithromycin,,,
Aztreonam,Aztreonam,,,
Azul De Metileno,Methylene Blue,,,
Azul Disperso,,,,
Azul Patente V Ci 42051,Patent Blue Violet,,,
Azul Patente V Sodico,Patent Blue Violet,,,
A-84538,Pepsin A,,,
Bacillus Pfeiffer,,,,
Bacilo Calmette-guerin Subcepa Moscu,,,,
"Bacilo Calmette-guerin,cepa Danesa 1331, Vivo Atenuado",,,,
Bacitracina,Bacitracin,,,
Bacitracina-zinc,Bacitracin Zinc,,,
Baclofeno,Baclofen,,,
Baloxavir Marboxil,Baloxavir Marboxil,,,
Balsamo Nicaragua,,,,
Balsamo Peru,Peruvian Balsam,,,
Balsamo Tolu,Tolu Balsam,,,
Balsamo Tolu Exto Fluido,Tolu Balsam,,,
Bambuterol,Bambuterol,,,
Bambuterol Hidrocloruro,Bambuterol,,,
Bardana,,,,
Baricitinib,Baricitinib,,,
Bario,Barium Sulfate,,,
Bario Sulfato,Barium Sulfate,,,
Barnidipino,Mepirodipine,,,
Barnidipino Hidrocloruro,Mepirodipine,,,
Basiliximab,Basiliximab,,,
Bazedoxifeno,Bazedoxifene,,,
Bazedoxifeno Acetato,Bazedoxifene,,,
Bcg Atenuado,,,,
Bcg Cultivo Vivo Desecado,,,,
Beclometasona,Beclomethasone,,,
Beclometasona Dipropionato,Beclomethasone Dipropionate,,,
Bedaquilina,Bedaquiline,,,
Bedaquilina Fumarato,Bedaquiline,,,
Belantamab Mafodotina,Belantamab Mafodotin,,,
Belatacept,Belatacept,,,
Belimumab,Belimumab,,,
Belladona Exto Blando,"Belladonna Extract, Usp",,,
Belumosudil Mesilato,Belumosudil,,,
Belzutifan,Belzutifan,,,
Bemiparina,Bemiparin,,,
Bemiparina Sodica,Bemiparin,,,
Bempedoico Acido,Bempedoic Acid,,,
Benazepril,Benazepril,,,
Benazepril Hidrocloruro,Benazepril,,,
Bencenocarboxilico Acido,Iocetamic Acid,,,
Bencidamida,,,,
Bencidamina,Benzydamine,,,
Bencidamina Hidrocloruro,Benzydamine,,,
Bencilhidroflumetiazida,,,,
Bencilparaben,Benzylparaben,,,
Bencilpenicilina,Penicillin G,,,
Bencilpenicilina Potasica,Penicillin G,,,
Bencilpenicilina Procaina,Penicillin G Procaine,,,
Bencilpenicilina Sodica,Penicillin G,,,
Bencilpenicilina-benzatina,Penicillin G,,,
Bendamustina,Bendamustine,,,
Bendamustina Hidrocloruro,Bendamustine,,,
Bendamustina Hidrocloruro Monohidrato,Bendamustine,,,
Bendrofluazida,Bendroflumethiazide,,,
Bendroflumetiazida,Bendroflumethiazide,,,
Benfotiamina,Benphothiamine,,,
Benoxinato,Benoxinate,,,
Benralizumab,Benralizumab,,,
Benserazida,Benserazide,,,
Benserazida Hidrocloruro,Benserazide,,,
Bentazepam,,,,
Benzalconio,Benzalkonium,,,
Benzalconio Cloruro,Benzalkonium,,,
Benzbromarona,Benzbromarone,,,
