codigo,nombre,nivel,es_sistema
A04AD54,"Clorobutanol, combinaciones con",5,true
A04AD93,"Dixirazina, combinaciones con",5,true
A04AD95,Lobulo anterior hipofisis extracto,5,true
A04AD96,"Alcaloides de la belladona, combinaciones con",5,true
A04AD97,"Corteza suprarrenal, combinaciones con",5,true
A04AD98,"Cerio oxalato y sodio citrato, combinaciones con",5,true
A05,TERAPIA BILIAR Y HEPATICA,2,true
A05A,TERAPIA BILIAR,3,true
A05AA,Acidos biliares y derivados,4,true
A05AA01,Acido quenodesoxicolico,5,true
A05AA02,Acido ursodesoxicolico,5,true
A05AA03,Acido colico,5,true
A05AA04,Acido obeticolico,5,true
A05AA06,Acido norucolico,5,true
A05AB,Preparados para la terapia del tracto biliar,4,true
A05AB01,Nicotinil metilamida,5,true
A05AX,Otros farmacos para terapia biliar,4,true
A05AX01,Piprozolina,5,true
A05AX02,Himecromona,5,true
A05AX03,Ciclobutirol,5,true
A05AX04,cloruro de maralixibat,5,true
A05AX05,Odevixibat,5,true
A05AX06,Elafibranor,5,true
A05AX07,Seladelpar,5,true
A05AX08,Linerixibat,5,true
A05AX91,Dimecrotico acido,5,true
A05AX92,"Emodina, combinaciones con",5,true
A05B,"TERAPIA HEPATICA, LIPOTROPICOS",3,true
A05BA,Terapia hepatica,4,true
A05BA01,"Arginina, glutamato de",5,true
A05BA03,Silimarina,5,true
A05BA04,Citiolona,5,true
A05BA05,Epomediol,5,true
A05BA06,"Ornitina, oxoglurato de",5,true
A05BA07,Tidiacico arginina,5,true
A05BA08,Acido glicirricico,5,true
A05BA11,Resmetirom,5,true
A05C,FARMACOS PARA TERAPIA BILIAR Y LIPOTROPICOS EN COMBINACION,3,true
A06,FARMACOS PARA EL ESTREÑIMIENTO,2,true
A06A,FARMACOS PARA EL ESTREÑIMIENTO,3,true
A06AA,"Suavizantes, emolientes",4,true
A06AA01,Parafina liquida,5,true
A06AA02,Docusato de sodio,5,true
A06AA51,"Parafina blanda, combinaciones con",5,true
A06AB,Laxantes de contacto,4,true
A06AB01,Oxifenisatina,5,true
A06AB02,Bisacodilo,5,true
A06AB03,Dantron,5,true
A06AB04,Fenoftaleina,5,true
A06AB05,Aceite de ricino,5,true
A06AB06,Glicosidos de sena,5,true
A06AB07,Cascara,5,true
A06AB08,Picosulfato de sodio,5,true
A06AB09,Bisoxatina,5,true
A06AB20,Laxantes de contacto en combinacion,5,true
A06AB30,Laxantes de contacto en combinacion con alcaloides de belladona,5,true
A06AB52,"Bisacodilo, combinaciones con",5,true
A06AB53,"Dantron, combinaciones con",5,true
A06AB56,"Glicosidos de sena, combinaciones con",5,true
A06AB57,"Cascara, combinaciones con",5,true
A06AB58,"Picosulfato de sodio, combinaciones con",5,true
A06AC,Formadores de volumen,4,true
A06AC01,Ispaghula (semillas de psyllium),5,true
A06AC02,Etulosa,5,true
A06AC03,Esterculia,5,true
A06AC05,Linaza,5,true
A06AC06,Metilcelulosa,5,true
A06AC07,Tritico (fibra de trigo),5,true
A06AC08,Policarbofilo calcico,5,true
A06AC51,"Ispaghula, combinaciones con",5,true
A06AC53,"Esterculia, combinaciones con",5,true
A06AC55,"Linaza, combinaciones con",5,true
A06AD,Laxantes osmoticos,4,true
A06AD01,Magnesio carbonato,5,true
A06AD02,Magnesio oxido,5,true
A06AD03,Magnesio peroxido,5,true
A06AD04,Magnesio sulfato,5,true
A06AD10,Sales minerales en combinacion,5,true
A06AD11,Lactulosa,5,true
A06AD12,Lactitol,5,true
A06AD13,Sulfato de sodio,5,true
A06AD14,"Pentaeritritilo, tetranitrato",5,true
A06AD15,Macrogol,5,true
A06AD16,Manitol,5,true
A06AD17,Fosfato de sodio,5,true
A06AD18,Sorbitol,5,true
A06AD19,Cloruro de magnesio,5,true
A06AD21,Tartrato de sodio,5,true
A06AD61,"Lactulosa, combinaciones con",5,true
A06AD65,"Macrogol, combinaciones con",5,true
A06AD91,Magnesio hidroxido,5,true
A06AG,Enemas,4,true
A06AG01,Fosfato de sodio,5,true
A06AG02,Bisacodilo,5,true
A06AG03,"Dantron, incluyendo combinaciones",5,true
A06AG04,Glicerol,5,true
A06AG06,Aceite,5,true
A06AG07,Sorbitol,5,true
A06AG10,"Docusato de sodio, incluyendo combinaciones",5,true
A06AG11,"Sodio lauril sulfoacetato, incluyendo combinaciones",5,true
A06AG20,"Enemas, combinaciones con",5,true
A06AH,Antagonistas del receptor opiode periferico,4,true
A06AH01,Bromuro de metilnaltrexona,5,true
A06AH02,Alvimopan,5,true
A06AH03,Naloxegol,5,true
A06AH05,Naldemedina,5,true
A06AX,Otros laxantes,4,true
A06AX01,Glicerol,5,true
A06AX02,"Dioxido de carbono, farmacos que producen",5,true
A06AX03,Lubiprostona,5,true
A06AX04,Linaclotida,5,true
A06AX05,Prucaloprida,5,true
A06AX06,Tegaserod,5,true
A06AX07,Plecanatide,5,true
A07,"ANTIDIARREICOS, AGENTES ANTIINFLAMATORIOS/ANTIINFECCIOSOS INTESTINALES",2,true
A07A,ANTIINFECCIOSOS INTESTINALES,3,true
A07AA,Antibioticos,4,true
A07AA01,Neomicina,5,true
A07AA02,Nistatina,5,true
A07AA03,Natamicina,5,true
A07AA04,Estreptomicina,5,true
A07AA05,Polimixina B,5,true
A07AA06,Paromomicina,5,true
A07AA07,Amfotericina B,5,true
A07AA08,Kanamicina,5,true
A07AA09,Vancomicina,5,true
A07AA10,Colistina,5,true
A07AA11,Rifaximina,5,true
A07AA12,Fidaxomicina,5,true
A07AA13,Rifamicina,5,true
A07AA51,"Neomicina, combinaciones con",5,true
A07AA54,"Estreptomicina, combinaciones con",5,true
A07AA56,"Paromomicina, combinaciones con",5,true
A07AB,Sulfonamidas,4,true
A07AB02,Ftalilsulfatiazol,5,true
A07AB03,Sulfaguanidina,5,true
A07AB04,Succinilsulfatiazol,5,true
A07AC,Derivados imidazolicos,4,true
A07AC01,Miconazol,5,true
A07AX,Otros antiinfecciosos intestinales,4,true
A07AX01,Broxiquinolina,5,true
A07AX02,Acetarsol,5,true
A07AX03,Nifuroxazida,5,true
A07AX04,Nifurcida,5,true
A07B,ADSORBENTES INTESTINALES,3,true
A07BA,Preparados con carbon,4,true
A07BA01,Carbon medicinal,5,true
A07BA51,"Carbon medicinal, combinaciones con",5,true
A07BB,Preparados con bismuto,4,true
A07BC,Otros adsorbentes intestinales,4,true
A07BC01,Pectina,5,true
A07BC02,Caolin,5,true
A07BC03,Crospovidona,5,true
A07BC04,Atapulgita,5,true
A07BC05,Diosmectita,5,true
A07BC30,Combinaciones,5,true
A07BC54,"Atapulgita, combinaciones con",5,true
A07C,ELECTROLITOS CON CARBOHIDRATOS,3,true
A07CA,Formulaciones de sales de rehidratacion oral,4,true
A07CA91,Sales para rehidratacion oral,5,true
A07D,ANTIPROPULSIVOS,3,true
A07DA,Antipropulsivos,4,true
A07DA01,Difenoxilato,5,true
A07DA02,Opio,5,true
A07DA03,Loperamida,5,true
A07DA04,Difenoxina,5,true
A07DA05,"Loperamida, oxido de",5,true
A07DA06,Eluxadolina,5,true
A07DA52,"Morfina, combinaciones con",5,true
A07DA53,"Loperamida, combinaciones con",5,true
A07DA91,"Etilmorfina, combinaciones con",5,true
A07E,AGENTES ANTIINFLAMATORIOS INTESTINALES,3,true
A07EA,Corticosteroides de accion local,4,true
A07EA01,Prednisolona,5,true
A07EA02,Hidrocortisona,5,true
A07EA03,Prednisona,5,true
A07EA04,Betametasona,5,true
A07EA05,Tixocortol,5,true
A07EA06,Budesonida,5,true
A07EA07,Beclometasona,5,true
A07EA91,Triamcinolona,5,true
A07EB,"Agentes antialergicos, excluyendo corticosteroides",4,true
A07EB01,Acido cromoglicico,5,true
A07EC,Acido aminosalicilico y agentes similares,4,true
A07EC01,Sulfasalazina,5,true
A07EC02,Mesalazina,5,true
A07EC03,Olsalazina,5,true
A07EC04,Balsalazida,5,true
A07F,MICROORGANISMOS ANTIDIARREICOS,3,true
A07FA,Microorganismos antidiarreicos,4,true
A07FA01,"Acido lactico, organismo productores de",5,true
A07FA02,Saccharomyces boulardii,5,true
A07FA03,Escherichia coli,5,true
A07FA51,"Acido lactico, organismos productores de, combinaciones con",5,true
A07X,OTROS ANTIDIARREICOS,3,true
A07XA,Otros antidiarreicos,4,true
A07XA01,Tanato de albumina,5,true
A07XA02,Ceratonia,5,true
A07XA03,"Calcio, compuestos de",5,true
A07XA04,Racecadotrilo,5,true
A07XA51,"Tanato de albumina, combinaciones con",5,true
A08,"PREPARADOS CONTRA LA OBESIDAD, EXCLUYENDO PRODUCTOS DIETETICOS",2,true
A08A,"PREPARADOS CONTRA LA OBESIDAD, EXCLUYENDO PRODUCTOS DIETETICOS",3,true
A08AA,Productos contra la obesidad de accion central,4,true
A08AA01,Fentermina,5,true
A08AA02,Fenfluramina,5,true
A08AA03,Amfepramona,5,true
A08AA04,Dexfenfluramina,5,true
A08AA05,Mazindol,5,true
A08AA06,Etilanfetamina,5,true
A08AA07,Catina,5,true
A08AA08,Clobenzorex,5,true
A08AA09,Mefenorex,5,true
A08AA10,Sibutramina,5,true
A08AA12,Setmelanotida,5,true
A08AA56,"Efedrina, combinaciones con",5,true
A08AA62,Bupropion y naltrexona,5,true
A08AB,Productos contra la obesidad de accion periferica,4,true
A08AB01,Orlistat,5,true
A08AX,Otros agentes contra la obesidad,4,true
A08AX01,Rimonabant,5,true
A09,"DIGESTIVOS, INCLUYENDO ENZIMAS",2,true
A09A,"DIGESTIVOS, INCLUYENDO ENZIMAS",3,true
A09AA,Preparados enzimaticos,4,true
A09AA01,Diastasa,5,true
A09AA02,"Multienzimas (lipasa, proteasa, etc.)",5,true
A09AA03,Pepsina,5,true
A09AA04,Tilactasa,5,true
A09AA52,Multienzimas asociados a otras sustancias,5,true
A09AA93,"Pancreas, extracto seco de",5,true
A09AB,Preparados de acidos,4,true
A09AB01,"Acido glutamico, clorhidrato del",5,true
A09AB02,"Betaina, clorhidrato de",5,true
A09AB03,Acido clorhidrico,5,true
A09AB04,Acido citrico,5,true
A09AC,Preparados con enzimas y acidos en combinacion,4,true
A09AC01,Preparados con pepsina y acidos,5,true
A09AC02,Multienzimas y preparados de acidos,5,true
A10,FARMACOS USADOS EN DIABETES,2,true
A10A,INSULINAS Y ANALOGOS,3,true
A10AB,Insulinas y analogos de accion rapida para inyeccion,4,true
A10AB01,Insulina (humana),5,true
A10AB02,Insulina (bovina),5,true
A10AB03,Insulina (porcina),5,true
A10AB04,Insulina lispro,5,true
A10AB05,Insulina asparta,5,true
A10AB06,Insulina glulisina,5,true
A10AB30,Combinaciones,5,true
A10AC,Insulinas y analogos de accion intermedia para inyeccion,4,true
A10AC01,Insulina (humana),5,true
A10AC02,Insulina (bovina),5,true
A10AC03,Insulina (porcina),5,true
A10AC04,Insulina lispro,5,true
A10AC30,Combinaciones,5,true
A10AD,Insulinas y analogos combinaciones de insulinas de accion intermedia o prolongada con insulinas de accion inmediata para inyeccion,4,true
A10AD01,Insulina (humana),5,true
A10AD02,Insulina (bovina),5,true
A10AD03,Insulina (porcina),5,true
A10AD04,Insulina lispro,5,true
A10AD05,Insulina asparta,5,true
A10AD06,Insulina degludec e insulina asparta,5,true
A10AD30,Combinaciones,5,true
A10AE,Insulinas y analogos de accion prolongada para inyeccion,4,true
A10AE01,Insulina (humana),5,true
A10AE02,Insulina (bovina),5,true
A10AE03,Insulina (porcina),5,true
A10AE04,Insulina glargina,5,true
A10AE05,Insulina detemir,5,true
A10AE06,Insulina degludec,5,true
A10AE07,Insulina icodec,5,true
A10AE08,Insulina efsitora alfa,5,true
A10AE30,Combinaciones,5,true
A10AE54,Insulina glargina y lixisenatida,5,true
A10AE56,Insulina degludec y liraglutida,5,true
A10AE57,Insulina icodec y semaglutida,5,true
A10AF,Insulinas y analogos para inhalacion,4,true
A10AF01,Insulina (humana),5,true
A10B,FARMACOS HIPOGLUCEMIANTES EXCLUYENDO INSULINAS,3,true
A10BA,Biguanidas,4,true
A10BA01,Fenformina,5,true
A10BA02,Metformina,5,true
A10BA03,Buformina,5,true
A10BB,Derivados de las sulfonilureas,4,true
A10BB01,Glibenclamida,5,true
A10BB02,Clorpropamida,5,true
A10BB03,Tolbutamida,5,true
A10BB04,Glibornurida,5,true
A10BB05,Tolazamida,5,true
A10BB06,Carbutamida,5,true
A10BB07,Glipizida,5,true
A10BB08,Gliquidona,5,true
A10BB09,Gliclazida,5,true
A10BB10,Metahexamida,5,true
A10BB11,Glisoxepida,5,true
A10BB12,Glimepirida,5,true
A10BB31,Acetohexamida,5,true
A10BB91,Glisentida,5,true
A10BC,Sulfonamidas (heterociclicas),4,true
A10BC01,Glimidina,5,true
A10BD,Combinaciones de farmacos hipoglucemiantes orales,4,true
A10BD01,Fenformina y sulfonamidas,5,true
